Arrests by Offense,Louisa,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,5,4
Simple Assault/Intimidation,87,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,0
Larceny,14,2
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,0,0
Fraud,0,0
Embezzlement,4,0
Stolen Property,1,0
Vandalism,1,0
Drug/Narcotic Offenses,65,4
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,188,11
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,0
Driving Under Influence,79,0
Drunkenness,38,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,13,2
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,4,0
Conspiracy,0,0
All Other (except Traffic),49,4
TOTAL GROUP B,190,7
GRAND TOTAL,378,18
