Arrests by Offense,Petersburg,
,Adult,Juvenile
Murder,7,0
Manslaughter,2,0
Kidnaping,25,1
"Sex Offenses, Forcible",11,2
Robbery,37,8
Aggravated Assault,98,10
Simple Assault/Intimidation,520,32
Arson,0,1
Extortion/Blackmail,0,0
Burglary,47,6
Larceny,185,21
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,24,0
Fraud,41,0
Embezzlement,11,0
Stolen Property,22,10
Vandalism,56,7
Drug/Narcotic Offenses,388,16
"Sex Offenses, Nonforcible",1,1
Pornography,0,0
Gambling,0,0
Prostitution,7,0
Bribery,0,0
Weapon Law Violations,74,7
TOTAL GROUP A,1556,122
Bad Checks,12,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,80,0
Driving Under Influence,100,0
Drunkenness,90,0
"Family Offenses, Nonforcible",28,0
Liquor Laws Violations,38,2
Peeping Tom,0,0
Runaway,0,9
Trespass of Real Property,95,2
Conspiracy,0,0
All Other (except Traffic),1186,23
TOTAL GROUP B,1629,37
GRAND TOTAL,3185,159
