Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,21,0
"Sex Offenses, Forcible",11,2
Robbery,32,3
Aggravated Assault,49,2
Simple Assault/Intimidation,415,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,17,3
Larceny,167,8
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,14,0
Fraud,66,1
Embezzlement,14,0
Stolen Property,9,1
Vandalism,63,3
Drug/Narcotic Offenses,217,2
"Sex Offenses, Nonforcible",2,0
Pornography,3,0
Gambling,0,0
Prostitution,10,0
Bribery,0,0
Weapon Law Violations,29,2
TOTAL GROUP A,1141,27
Bad Checks,414,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,50,0
Driving Under Influence,155,1
Drunkenness,540,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,43,9
Peeping Tom,1,0
Runaway,0,12
Trespass of Real Property,170,1
Conspiracy,0,0
All Other (except Traffic),1108,17
TOTAL GROUP B,2483,40
GRAND TOTAL,3624,67
