Arrests by Offense,Carroll,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",4,0
Robbery,1,0
Aggravated Assault,15,0
Simple Assault/Intimidation,209,8
Arson,0,0
Extortion/Blackmail,0,1
Burglary,41,4
Larceny,74,3
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,6,0
Fraud,10,0
Embezzlement,2,0
Stolen Property,9,0
Vandalism,28,1
Drug/Narcotic Offenses,80,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,1
TOTAL GROUP A,501,22
Bad Checks,170,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,10,0
Driving Under Influence,202,1
Drunkenness,105,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,12,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,27,0
Conspiracy,3,0
All Other (except Traffic),463,8
TOTAL GROUP B,995,11
GRAND TOTAL,1496,33
