Arrests by Offense,Warren,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,3
Robbery,6,0
Aggravated Assault,7,1
Simple Assault/Intimidation,150,55
Arson,0,0
Extortion/Blackmail,0,0
Burglary,20,1
Larceny,109,48
Motor Vehicle Theft,10,4
Counterfeiting/Forgery,9,0
Fraud,9,0
Embezzlement,5,0
Stolen Property,4,3
Vandalism,18,18
Drug/Narcotic Offenses,266,23
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,2
TOTAL GROUP A,633,158
Bad Checks,36,0
Curfew/Loitering/Vagrancy,0,23
Disorderly Conduct,12,20
Driving Under Influence,256,5
Drunkenness,458,17
"Family Offenses, Nonforcible",10,0
Liquor Laws Violations,50,30
Peeping Tom,1,0
Runaway,0,36
Trespass of Real Property,29,7
Conspiracy,0,0
All Other (except Traffic),699,78
TOTAL GROUP B,1551,216
GRAND TOTAL,2184,374
