Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Clifton Forge,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,South Boston,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,5,,,,1,,,,1,,4,,,,1,,,,2,,,,,,,,,,2,,1,,12,1,,,,,,,6,,,,2,,2,,9,3,15,,,,2,,,,9,,,,37,9,4,1,,,2,1,,,2,,16,,,1,,,2,
Manslaughter, ,,,,,,,,,,,, ,,,,,,,,,,,, ,,,,,,,,,1,,, ,,,,,1,,,,,,, ,,,,,,,,,,,, ,1,,3,2,3,,,,,,, ,1,,4,,,,,,
Forcible Rape,9,,1,,2,,,,2,,10,5,,1,3,1,,,2,,,,2,,1,,1,,3,,1,,21,2,3,,,,,1,5,1,,,,,1,,28,4,5,1,1,,4,1,1,,13,1,4,,46,5,16,2,1,1,1,,2,,6,,27,3,1,1,1,,,
Robbery,32,9,2,,5,1,,,14,,29,23,1,,5,2,1,2,18,7,7,4,2,3,3,,8,1,11,,1,,85,18,6,,7,1,,,22,2,1,,,,14,2,88,17,17,4,1,,22,2,1,,82,13,4,,169,13,44,6,5,,3,,2,6,21,,120,60,,7,5,,8,3
Aggravated Assault,80,22,9,1,36,4,14,1,28,3,157,34,17,5,17,3,3,,26,4,37,5,9,4,7,2,6,2,28,1,10,,346,29,35,4,10,,3,1,85,4,8,,6,,30,3,274,42,31,8,8,,131,16,6,1,120,19,35,1,457,52,120,38,11,,5,3,16,3,58,,135,20,48,4,17,2,15,4
Burglary,63,17,1,2,3,2,1,,19,1,42,66,2,,19,7,4,3,84,8,12,6,19,1,,,5,8,5,,4,4,138,43,7,1,8,1,5,,54,5,,,7,6,22,13,192,88,23,8,,,53,23,2,,114,21,24,1,202,32,94,43,7,5,6,,11,16,35,,160,98,25,9,4,,13,3
Larceny,499,114,28,6,96,11,4,1,98,8,363,235,3,2,242,257,23,18,561,44,42,16,69,5,40,6,73,18,176,47,66,10,623,377,59,9,21,4,8,4,410,153,26,,24,18,85,14,579,198,378,142,78,25,161,29,8,9,464,63,48,11,707,109,636,195,92,69,54,16,201,85,187,5,"1,430",671,118,2,62,14,157,182
Motor Vehicle Theft,48,30,4,1,5,1,,,2,,42,26,1,,,,,,27,10,17,5,2,6,4,2,6,3,3,,6,2,18,23,5,1,,,,1,15,1,5,,5,2,5,2,59,88,9,30,1,,23,5,2,,9,30,3,,188,105,40,16,18,23,,1,7,10,3,,8,16,15,13,11,6,,
Arson,2,,,,3,2,,,,,4,2,,2,3,3,,,1,,1,,,,,,1,,,1,,,4,,,,,,,,1,,,,,3,2,,5,13,,,,,2,,,,5,,,,54,32,7,13,,2,,3,3,,1,,35,15,,,1,1,3,
SUBTOTAL FOR PART I OFFENSES,738,192,45,10,151,21,19,2,164,12,651,391,24,10,290,273,31,23,721,73,116,36,103,19,55,10,100,32,228,49,89,16,"1,248",493,115,15,46,6,16,7,599,166,40,,44,29,161,34,"1,234",453,478,193,89,25,398,76,20,10,816,147,119,13,"1,863",359,964,314,134,100,71,24,242,120,314,5,"1,935",883,207,37,101,23,198,192
Other Assaults,720,114,79,6,230,8,20,,446,10,569,175,43,12,214,58,33,1,535,21,106,12,102,11,35,3,91,6,227,17,68,2,901,177,140,10,75,,20,,"1,123",50,69,1,46,10,231,23,"1,355",153,276,11,31,2,565,53,36,3,"1,399",135,135,6,"1,367",357,"1,047",228,128,18,57,3,320,28,590,,"2,878",496,334,,89,15,192,72
Forgery & Counterfeiting,49,2,14,,17,1,,,36,,43,5,,,29,,8,,146,1,31,,12,,6,,6,,24,,20,,108,13,33,,1,,1,,49,2,3,,3,,34,1,67,2,43,1,5,,83,,,,52,,14,,370,4,59,3,33,6,7,1,35,1,11,,254,6,59,8,7,,11,7
Fraud,104,4,10,,27,,,,24,,47,,2,,17,1,2,,133,8,14,,24,,24,1,,,96,,2,,286,8,28,,3,,,,204,,6,1,12,1,18,,83,1,44,,,,,,2,,62,1,122,,236,2,43,4,23,,7,,104,,5,,432,13,180,,4,1,6,1
Embezzlement,54,5,4,,2,,,,9,,15,1,,,45,8,2,,22,,3,,11,2,3,,4,,6,,1,,58,2,8,2,2,,,,7,,,,3,,4,,46,5,10,,,,10,,,,17,,1,1,19,,34,5,12,1,1,,6,,7,,119,7,8,,6,,5,
"Stolen Property: Buy, Receiving, Poss.",17,3,,,2,4,,,16,2,12,6,1,,6,8,1,,9,6,2,1,5,2,,4,5,1,1,3,2,,73,24,3,,2,,,,7,7,1,,,2,,,49,40,15,5,2,,26,16,,,19,,4,,29,5,13,3,,,3,,4,1,10,,33,24,6,5,2,,5,8
Vandalism,46,28,7,1,18,1,2,,58,,32,41,10,,10,32,4,6,143,11,9,7,9,4,3,3,11,,4,5,18,3,32,62,19,3,8,,5,,76,11,8,,10,4,24,1,176,57,19,11,6,1,67,7,4,1,103,10,20,2,110,43,61,48,21,11,4,1,39,30,44,,230,146,53,,4,2,18,16
"Weapons: Possessing, Etc.",25,16,7,1,14,2,,2,27,4,94,45,6,5,20,3,3,,107,11,20,1,18,7,6,2,10,,18,3,3,1,214,28,23,,7,1,4,,98,12,7,,2,2,10,2,149,47,66,21,11,3,52,11,7,1,90,6,13,,270,38,145,28,10,4,11,1,9,5,53,,336,91,58,5,7,2,21,8
Prostitution & Commercialized Vice,12,,,,,,,,3,,1,,,,,,,,9,,,,4,,,,,,,,,,9,1,1,,,,,,22,2,,,,,1,,60,,84,,,,13,,,,13,,,,126,3,45,,,,,,,,,,97,1,,,,,,
Sex Offenses (except Rape & Prostitution),31,8,2,2,5,1,,,6,,16,17,,,,,2,,11,1,1,,12,1,1,1,2,,5,,2,,54,25,2,1,4,,,,31,1,1,,1,,4,,28,19,16,4,2,,1,5,1,,21,,2,,51,16,22,8,3,2,1,,7,1,11,,196,61,9,1,2,4,10,1
Narcotic Drug Laws: Sale/Manufacture,173,11,1,,45,,15,,27,4,55,8,6,,11,2,14,,227,31,31,5,4,3,1,,8,,39,2,7,1,446,11,28,2,2,,20,,130,9,7,,1,,,,315,31,45,1,,,5,,5,1,257,3,93,1,858,77,98,8,10,,6,1,14,,9,,300,23,91,3,18,,22,
Narcotic Drug Laws: Possession,224,36,17,3,109,3,15,,141,10,496,88,23,4,78,18,32,6,213,11,44,2,45,13,16,5,44,1,144,14,26,2,375,113,150,5,23,,9,2,381,20,38,,12,9,37,5,"1,219",157,229,12,25,5,6,1,21,12,540,10,102,2,"1,505",97,274,47,39,8,27,7,59,12,152,,"1,487",350,103,10,59,7,89,15
Gambling,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,1,4,,,,5,,,,2,,,,2,5,,,,,,,,,,,9,,,,,,
Offenses Against the Family,31,1,,,3,,,,3,,9,,1,,,,,,517,20,1,,4,,2,,,,13,,4,,17,1,2,,4,,,,41,,2,,,,3,,128,10,43,,10,,,,1,,37,,9,,52,27,55,,2,,,,2,,,,211,28,81,,1,,7,
Driving Under the Influence,344,2,53,,205,,20,,204,3,408,5,28,,214,2,34,,415,11,104,1,267,2,47,,35,1,8,,81,1,550,1,156,1,1,,47,1,250,,206,2,44,1,56,1,381,3,311,,89,4,171,,90,3,247,,114,,434,2,368,3,124,1,60,1,109,5,167,,"2,164",8,216,4,83,,237,8
Liquor Laws,874,29,13,4,81,9,1,2,55,8,119,29,37,4,54,16,8,2,45,6,12,5,24,3,111,6,41,2,38,5,24,5,23,14,140,11,,,13,2,305,23,83,12,10,1,5,5,81,27,865,12,41,21,287,12,4,2,19,1,479,24,55,14,124,3,8,,31,8,23,22,3,,"2,176",311,69,,25,14,111,27
