Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,22,0,0,0,0,0,2,1,0,0,0,2,4,0,3,1,0,1,5,0,0,0,0,0,4
Bedford PD ,6400,9406.25,602,0,0,2,7,3,17,192,4,0,23,209,12,24,7,5,1,118,44,1,0,1,0,0,18
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bristol PD,17200,8941.86,1538,1,0,5,14,8,55,534,8,0,50,415,22,45,44,3,4,360,155,0,0,0,0,0,35
State Police,,,13,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,4,0,0,0,0,0,4
Buena Vista PD ,6500,2215.38,144,0,2,0,2,0,20,26,0,0,9,41,2,2,2,0,0,38,7,0,0,0,0,0,2
State Police,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Charlottesville PD,37700,12493.36,4710,3,10,29,22,74,266,934,21,1,291,1825,122,26,151,43,4,1529,388,2,0,0,3,0,69
State Police,,,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
Chesapeake PD ,197000,4327.91,8526,6,81,40,89,215,434,1523,11,2,975,4150,580,147,156,57,24,882,658,3,3,0,3,0,295
State Police,,,78,0,0,0,0,0,1,1,0,0,0,4,0,7,0,0,0,4,42,0,0,0,0,0,22
Clifton Forge PD,4300,5465.11,235,0,0,1,2,1,28,59,2,0,13,63,3,1,2,1,2,74,22,0,0,0,0,0,11
State Police,,,36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,34,0,0,0,0,0,0
Colonial Heights PD ,16600,12090.36,2007,3,10,6,16,12,20,341,15,0,83,1023,41,44,81,61,8,355,115,0,0,0,0,0,31
State Police,,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,28
Covington PD,6900,6840.57,472,0,2,1,3,4,5,71,6,0,42,198,0,12,8,6,1,129,34,2,0,0,0,0,7
State Police,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1
Danville PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,23,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,11,0,0,0,0,0,8
Emporia PD ,5700,15473.68,882,0,2,1,3,14,62,218,2,0,43,302,34,47,17,7,6,128,84,0,0,0,0,0,35
State Police,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
Fairfax PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Falls Church PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin PD,8200,10000,820,0,1,2,2,12,12,238,3,0,49,331,22,29,5,5,8,170,69,3,1,0,0,0,22
State Police,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,3
Fredericksburg PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,20,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,1,8,0,0,0,0,0,7
Galax PD,6700,10388.05,696,2,1,2,2,6,23,183,1,0,17,236,20,43,13,2,0,165,37,1,0,0,0,0,13
State Police,,,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
Hampton PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,203,0,1,0,0,0,6,1,0,0,0,2,2,3,2,2,3,9,102,0,0,0,0,0,83
Harrisonburg PD,34800,8258.62,2874,0,12,12,19,31,112,325,6,0,211,1215,99,110,113,29,20,975,282,2,0,0,2,0,54
State Police,,,49,0,0,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,32,0,0,0,0,0,6
Hopewell PD,22200,2675.67,594,2,5,1,7,19,32,156,2,0,71,217,16,8,5,3,1,200,55,1,0,0,0,0,20
State Police,,,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,6
Lexington PD,7100,3591.54,255,0,1,5,2,0,13,53,0,0,15,96,5,11,5,2,1,68,14,0,0,0,0,0,7
State Police,,,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,1
Lynchburg PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,42,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,11,0,0,0,0,0,23
Manassas PD,33400,8362.27,2793,1,9,9,26,36,35,749,12,2,91,987,119,31,88,15,0,629,134,0,0,0,0,0,56
State Police,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Manassas Park PD,8500,7341.17,624,0,1,2,6,3,8,148,2,0,30,247,30,7,20,4,2,169,26,0,0,0,0,0,17
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD,15300,12248.36,1874,5,0,6,8,20,47,347,4,1,128,778,50,86,41,9,0,389,74,1,0,0,1,0,20
State Police,,,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1
Newport News PD,179900,11025.56,19835,17,232,107,151,431,957,5018,86,1,1525,7059,1193,261,380,125,60,4284,1446,7,3,2,84,0,556
State Police,,,104,0,0,0,0,0,0,1,0,0,0,1,0,6,2,0,1,11,51,0,0,0,0,0,34
Norfolk PD ,225700,4724.85,10664,17,28,54,124,369,303,1551,11,0,893,5250,684,119,62,32,13,1813,419,3,0,2,115,1,60
State Police ,,,128,0,0,0,0,0,2,4,0,0,0,4,1,14,3,3,1,18,57,0,0,0,0,0,30
Norton PD ,4000,11125,445,0,1,4,2,1,24,59,0,0,13,204,12,13,2,0,9,107,42,2,2,0,0,0,18
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Petersburg PD ,34000,14929.41,5076,4,25,15,43,95,241,1124,18,0,518,1883,274,114,177,20,58,1545,189,1,0,3,14,0,143
State Police ,,,57,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,4,42,0,1,0,0,0,7
Poquoson PD ,11400,2385.96,272,0,1,1,2,1,12,55,0,0,16,69,5,5,4,2,1,97,39,0,0,0,0,0,7
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,42,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,6,21,0,0,0,0,0,10
Radford PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2
Richmond PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,104,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,11,68,0,0,0,0,0,15
Roanoke PD ,93800,4440.29,4165,4,15,21,34,110,279,1079,20,2,347,1437,136,32,73,23,4,919,223,1,1,0,6,0,115
State Police ,,,62,0,0,0,0,0,0,0,0,0,0,6,0,3,9,0,0,7,10,0,0,0,0,0,29
Salem PD ,24400,5278.68,1288,0,1,1,4,9,15,238,2,0,31,603,43,45,45,21,3,338,61,1,0,0,0,0,23
State Police ,,,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,7
