Location,Total Offenses
Air/Bus/Train Terminal,3
Bank/Savings and Loan,3
Bar/Night Club,2
Church/Synagogue/Temple,8
Commercial/Office Building,35
Construction Site,9
Convenience Store,6
Department/Discount Store,6
Drug Store/Doctor's Office/Hospital,5
Field/Woods,85
Government/Public Building,19
Grocery/Supermarket,5
Highway/Road/Alley,74
Hotel/Motel/Etc.,6
Jail/Prison,3
Lake/Waterway,0
Liquor Store,0
Parking Lot/Garage,54
Rental Storage Facility,7
Residence/Home,429
Restaurant,11
School/College,55
Service/Gas Station,4
Specialty Store,6
Other/Unknown,87
Total,922
