Agencies In Summary System,Population,"Crime Index Rate Per 100,000",Total Crime Index,Murder and Non-negligent Manslaughter,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Arson
County Sheriffs,,,,,,,,,,,
Buckingham Co. SO ,14800,959.46,142,,3,,24,46,60,9,
Caroline Co SO ,21000,438.1,92,,32,1,12,19,27,1,
Charles City Co. SO1 ,7100,98.59,7,,,,1,4,2,,
Culpeper Co. SO ,24770,1299.96,322,,7,5,31,55,212,12,
Greene Co. SO ,14700,1374.15,202,,,1,21,30,148,2,2
King & Queen Co. SO 1 ,6500,692.31,45,,,,6,7,31,1,
Louisa Co. SO ,23870,1344.78,321,,8,,23,69,201,20,
Northumberland Co SO ,11700,256.41,30,,1,,3,3,22,1,
Southampton Co SO ,16080,559.7,90,,1,2,37,15,32,3,
Spotsylvania Co. SO ,87100,2292.77,1997,1,16,18,137,211,1523,91,
County Police,,,,,,,,,,,
Arlington Co. PD ,180900,3406.3,6162,4,26,183,187,472,4626,664,33
Fairfax Co. PD1 ,907950,1549.87,14072,15,66,258,236,917,11421,1159,90
Prince William Co. PD ,261490,3043.33,7958,14,34,220,340,1013,5796,541,66
Town Police,,,,,,,,,,,
Parksley PD ,780,769.23,6,,,,,,6,,
Bowling Green PD1 ,700,,0,,,,,,,,
Hillsville PD ,1970,3756.35,74,,,,3,9,58,4,
Culpeper PD ,8630,4994.21,431,,1,7,26,39,347,11,
McKenney PD ,390,,0,,,,,,,,
Vienna PD ,14550,2302.41,335,,2,6,8,33,275,11,7
Warrenton PD ,5500,3018.18,166,,,7,6,11,135,7,
Glen Lyn PD1 ,160,,0,,,,,,,,
Pembroke PD ,1060,,0,,,,,,,,
Rich Creek PD1 ,660,,0,,,,,,,,
Halifax PD ,720,416.67,3,,,,,,3,,
Ashland PD ,5960,3087.25,184,,1,3,5,12,157,6,
Kilmarnock PD ,1260,2698.41,34,,,1,2,8,23,,
Louisa PD 1 ,1230,1463.41,18,,,1,3,4,9,1,
LaCrosse PD ,570,,0,,,,,,,,
Crewe PD ,2110,2891,61,,,,5,7,46,3,1
Warsaw PD1 ,970,103.09,1,,,,,,1,,
Strasburg PD ,4050,1506.17,61,,,,2,11,47,1,
Marion PD ,6300,253.97,16,,,,,1,15,,
Courtland PD ,1080,,0,,,,,,,,
Waverly PD ,2170,1889.4,41,,,,16,4,21,,
Appalachia PD ,1820,2087.91,38,,3,,7,10,18,,
City Police,,,,,,,,,,,
Alexandria PD ,119900,4738.95,5682,2,22,158,206,556,4036,702,12
Danville PD ,50200,5241.04,2631,9,18,102,101,390,1870,141,6
Fairfax City PD ,20600,4407.77,908,,6,14,23,89,714,62,2
Falls Church PD ,9800,4887.76,479,,3,12,41,32,355,36,
Fredericksburg PD ,18700,4593.58,859,2,8,31,33,60,694,31,7
Hampton PD ,136200,4308.37,5868,11,36,237,197,959,3966,462,38
Lynchburg PD ,64600,4304.95,2781,6,23,58,211,356,2005,122,
Norfolk PD ,225700,530.79,1198,4,11,77,47,128,834,97,46
Portsmouth PD ,97200,7120.37,6921,18,34,449,386,1568,3856,610,25
Radford PD ,16100,2074.53,334,,6,8,36,67,204,13,2
Richmond City PD ,191300,8135.91,15564,72,111,1035,1026,2880,8339,2101,235
Roanoke PD ,93800,2463.75,2311,3,27,111,91,341,1588,150,29
Virginia Beach PD ,421000,3821.62,16089,12,107,507,418,2034,12293,718,154
Waynesboro PD ,19200,3604.17,692,1,3,4,53,95,508,28,8
College & University,,,,,,,,,,,
VPI PD ,,,392,,,,14,17,360,1,1
JMU PD ,,,222,,,2,7,53,159,1,1
Tho Nelson Comm Col ,,,3,,,,,,3,,
Emory & Henry PD1 ,,,18,,,,,6,12,,
VA State Univ PD ,,,97,,,3,2,18,72,2,
Radford Univ PD ,,,54,,,,,8,46,,
Other Agencies,,,,,,,,,,,
Chesapeake Bay Bridge ,,,0,,,,,,,,
Div of Capitol Police ,,,117,,,1,,1,109,6,
