Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Alexandria PD,284,238,46,126
Bedford PD,20,19,1,7
Bristol PD,60,52,8,20
Buena Vista PD,14,13,1,1
Charlottesville PD,106,98,8,28
Chesapeake PD,327,279,48,77
Clifton Forge PD,9,9,0,6
Colonial Heights PD,47,43,4,13
Covington PD,15,15,0,6
Danville PD,135,122,13,7
Emporia PD,26,24,2,6
Fairfax PD,58,55,3,16
Falls Church PD,28,24,4,9
Franklin PD,31,29,2,11
Fredericksburg PD,58,52,6,22
Galax PD,23,22,1,13
Hampton PD,257,224,33,86
Harrisonburg PD,64,58,6,19
Hopewell PD,48,46,2,16
Lexington PD,16,16,0,1
Lynchburg PD,141,135,6,19
Manassas PD,77,70,7,18
Manassas Park PD,16,14,2,9
Martinsville PD,52,47,5,6
Newport News PD,373,323,50,125
Norfolk PD,691,624,67,117
Norton PD,17,16,1,6
Petersburg PD,98,93,5,40
Poquoson PD,18,17,1,5
Portsmouth PD,241,215,26,103
Radford PD,29,27,2,10
Richmond PD,698,613,85,122
Roanoke PD,236,222,14,44
Salem PD,59,57,2,23
South Boston PD,21,21,0,4
Staunton PD,46,40,6,16
Suffolk PD,142,127,15,39
Virginia Beach PD,729,651,78,157
Waynesboro PD,50,44,6,7
Williamsburg PD,34,29,5,13
Winchester PD,66,63,3,13
CITY TOTAL,5460,4886,574,1386
