Circumstances of Aggravated Assaults,Total
Argument,3680
Assault on Law Officer,464
Drug Dealing,36
Gangland,14
Juvenile Gang,10
Lover's Quarrel,224
Other Felony Involved,31
Other Circumstances,1139
Unknown Circumstances,2028
