Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
University of Virginia PD,56,44,12,65
Geo. Mason Univ. PD,45,36,9,8
N. VA Comm. Col. PD,32,26,6,0
Ferrum College PD,5,2,3,0
Virginia Tech PD,35,32,3,15
Longwood Col. PD,11,10,1,1
James Madison Univ. PD,20,17,3,8
Emory & Henry Col. PD,1,0,1,2
UVA's Col. at Wise PD,6,5,1,1
Mary Wash. Col. PD,13,13,0,6
Thomas Nelson Col. PD,8,7,1,1
Hampton University PD,18,16,2,16
Christopher Newport PD,9,6,3,1
Norfolk State Univ. PD,33,27,6,7
Virginia State Univ. PD,19,14,5,20
VA Wstrn Comm. Col. PD,5,5,0,0
William & Mary Col. PD,19,16,3,5
Radford Univ. PD,17,16,1,5
VA Commonwlth Univ. PD,67,57,10,33
Univ. of Richmond PD,16,14,2,14
Old Dominion Campus PD,38,31,7,6
Virginia Military Institute,6,6,0,0
COLLEGE AND UNIVERSITY TOTAL,479,400,79,214
