Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unknown
Monday,120,42,38,86,94,70,81,72,118,128,122,124,39
Tuesday,109,44,26,63,85,67,80,80,94,99,130,149,45
Wednesday,111,39,36,78,88,60,72,56,111,129,136,124,43
Thursday,108,44,34,73,82,77,71,80,104,130,137,136,39
Friday,149,55,31,83,86,70,69,85,154,162,161,193,40
Saturday,171,72,39,61,95,73,121,95,124,162,150,203,45
Sunday,161,84,39,35,77,69,80,65,89,125,120,153,40
Total,929,380,243,479,607,486,574,533,794,935,956,1082,291
