Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,3571,2351,4474,4522,5728,4319,1228
Tuesday,3178,2020,3916,4233,5773,4588,1068
Wednesday,3205,1890,3832,4306,5876,4665,1134
Thursday,3342,1910,3888,4319,5814,4677,1078
Friday,4065,1997,4173,4896,6967,5642,1256
Saturday,4514,1603,3825,4575,5658,5403,1104
Sunday,4239,1332,2994,3926,4602,4426,1000
