Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,68,0,0,0,0,1,0,6,0,0,0,41,0,0,0,0,0,22,0,0,0,0,0,0,0
Emory & Henry College PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrum College PD ,,,67,0,0,0,2,0,1,7,0,0,3,44,0,0,0,0,0,12,1,0,0,0,0,0,0
George Mason University PD ,,,538,0,0,2,1,0,6,41,3,0,31,360,3,4,1,2,1,112,34,0,0,0,0,0,3
Hampton University PD ,,,181,0,0,1,0,2,0,17,2,0,1,142,1,0,2,0,0,11,0,0,0,0,0,0,3
James Madison University PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longwood University PD,,,115,0,0,1,0,0,0,2,2,0,0,72,0,1,3,0,0,34,0,0,0,0,0,0,0
Mary Washington College,,,96,0,0,0,1,0,0,0,0,0,2,64,1,0,0,0,2,33,0,0,0,0,0,0,0
Norfolk State University PD ,,,296,0,0,0,0,5,7,23,3,0,29,154,0,1,11,0,0,55,7,0,0,0,0,0,4
N. Virginia Community College PD ,,,202,0,1,1,0,0,0,13,0,0,3,142,0,2,0,0,1,33,2,0,4,0,0,0,2
Old Dominion University PD ,,,75,0,0,0,0,1,0,17,1,0,2,28,4,4,1,0,1,21,3,0,0,0,0,0,3
Radford University PD ,,,97,0,0,0,0,0,0,13,0,0,0,56,0,0,3,0,1,31,3,0,0,0,0,0,0
Thomas Nelson Community College PD 5 ,,,26,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Richmond PD ,,,301,0,0,3,0,0,0,2,0,1,5,127,4,1,1,0,0,172,4,0,0,0,0,0,0
University of Virginia PD ,,,625,0,1,1,2,5,6,32,1,0,14,403,3,5,8,1,2,211,15,1,0,0,1,0,6
UVA's College at Wise PD ,,,16,0,0,1,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD ,,,1011,0,0,0,1,5,9,77,0,0,9,671,5,5,5,3,0,57,170,0,0,0,2,0,25
Virginia Tech University PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Western Community College PD ,,,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0
Virginia Military Institute PD ,,,27,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,2,0,0,0,0,0,0,0
Virginia State University PD ,,,160,0,0,0,0,2,2,13,2,0,5,86,4,3,2,0,1,39,16,0,0,0,0,0,2
William & Mary College PD ,,,338,0,0,2,0,0,0,7,2,0,9,224,0,2,9,0,1,100,3,0,1,0,0,0,2
