Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,352,175,158,372,493,324,320,316,472,381,309,282,112
Tuesday,325,178,137,347,489,262,328,294,443,378,320,315,122
Wednesday,348,177,157,360,467,319,368,318,489,436,362,337,130
Thursday,354,157,133,365,471,303,339,305,455,394,371,312,93
Friday,330,172,143,298,421,330,359,407,638,543,379,334,143
Saturday,415,203,134,154,275,282,380,354,445,356,325,363,128
Sunday,357,205,159,134,240,218,296,300,356,343,326,292,136
TOTAL,2481,1267,1021,2030,2856,2038,2390,2294,3298,2831,2392,2235,864
