Month,Stolen,Recovered,% Recovered
JAN,"24,687,963","7,070,270",28.6
FEB,"18,983,875","5,989,571",31.6
MAR,"22,718,778","7,592,796",33.4
APR,"22,442,720","6,300,504",28.1
MAY,"22,497,515","6,824,276",30.3
JUN,"22,525,991","6,690,649",29.7
JUL,"24,557,260","7,407,660",30.2
AUG,"26,813,798","8,639,605",32.2
SEP,"23,188,574","6,329,867",27.3
OCT,"24,373,449","6,432,469",26.4
NOV,"22,243,607","5,541,598",24.9
DEC,"20,588,419","5,474,743",26.6
TOTAL,"$275,621,949","$80,294,008",28.9
