COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,31825,2934.79,934,1,0,12,10,20,23,257,0,0,90,328,44,21,24,10,0,163,9,1,0,0,0,0,21
State Police,,,151,0,1,1,0,0,1,0,0,0,4,20,3,10,12,3,0,11,89,0,0,0,0,0,7
Alleghany County SO,12511,3045.32,381,0,0,2,7,0,8,151,1,0,40,99,13,9,2,4,0,70,33,0,0,0,0,0,10
State Police,,,34,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,25,0,0,0,0,0,2
Amelia County SO,12100,3082.64,373,1,0,1,8,1,2,112,1,0,30,116,7,4,4,0,1,85,58,0,0,0,0,1,17
State Police,,,9,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1
Amherst County SO,29449,2747.12,809,1,1,8,15,5,9,147,5,0,53,283,30,82,21,5,0,128,100,0,0,0,3,0,19
State Police,,,19,0,0,0,0,0,2,2,0,0,0,4,3,0,1,0,0,2,4,0,0,0,0,0,1
Appomattox County SO,13600,2477.94,337,0,0,5,5,2,2,69,1,0,31,128,6,26,2,1,0,45,51,0,0,0,0,0,15
State Police,,,24,0,0,0,0,0,1,1,0,0,0,4,0,0,4,0,0,1,12,0,0,0,0,0,1
Augusta County SO,67100,2558.86,1717,3,7,16,26,4,36,340,3,0,150,753,54,113,80,28,7,398,84,2,1,0,0,0,38
State Police,,,120,0,1,1,0,0,3,13,0,0,2,31,15,1,11,0,0,8,36,1,0,0,0,0,7
Bath County SO,4900,20.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,16,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,1,7,0,0,0,0,0,2
Bedford County SO,61200,2968.95,1817,0,5,6,27,3,38,554,8,1,120,576,42,31,61,7,2,392,105,2,2,0,2,0,58
