Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks,3075,4218,98.74
Curfew/Loitering/Vagrancy Violations,1417,693,28.57
Disorderly Conduct,4591,1914,88.07
Driving Under the Influence,20022,4314,329.47
Drunkenness,22201,3292,345.14
"Family Offenses, Nonviolent",789,358,15.53
Liquor Law Violations,6582,2326,120.6
Peeping Tom,111,3,1.54
Runaway,1646,2373,54.41
Trespass of Real Property,6185,1536,104.53
Conspiracy to Commit Group A Offense,186,17,2.75
Conspiracy to Commit Group B Offense,10,3,0.18
All Other Offenses,62588,21500,1138.43
Total Group B Arrests,129403,42547,2327.96
