Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport PD,13,11,2,5
Emory & Henry Col. PD,1,1,0,3
Ferrum College PD,7,4,3,0
Geo. Mason Univ. PD,43,34,9,13
Hampton University PD,20,17,3,14
James Madison Univ. PD,21,18,3,5
Longwood Univ. PD,11,10,1,5
Mary Wash. Col. PD,9,8,1,8
Norfolk State Univ. PD,27,17,10,24
N. VA Comm. Col. PD,33,26,7,0
Old Dominion Campus PD,31,26,5,25
Radford Univ. PD,19,18,1,5
Thomas Nelson Col. PD,7,5,2,2
Univ. of Richmond PD,16,14,2,16
University of Virginia PD,50,37,13,62
UVA's Col. at Wise PD,7,6,1,1
VA Commonwlth Univ. PD,70,57,13,86
Virginia Military Institute,6,6,0,0
Virginia State Univ. PD,18,13,5,14
Virginia Tech PD,38,33,5,18
VA Wstrn Comm. Col. PD,6,6,0,0
William & Mary Col. PD,18,17,1,4
COLLEGE AND UNIVERSITY TOTAL,471,384,87,310
