Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter,267,82,183,0,2
Negligent Manslaughter,11,8,3,0,0
Kidnapping,703,296,403,1,3
Forcible Rape,418,219,196,0,3
Forcible Sodomy,232,149,79,1,3
Sexual Assault with an Object,93,64,28,0,1
Forcible Fondling,609,374,228,1,6
Robbery,1401,399,997,0,5
Aggravated Assault,4482,2157,2300,3,22
Simple Assault,32797,17928,14587,33,249
Intimidation,1512,871,634,0,7
Arson,327,257,70,0,0
Extortion/Blackmail,42,19,23,0,0
Burglary/Breaking & Entering,3773,2357,1389,1,26
Pocket-picking,217,113,100,0,4
Purse-snatching,31,11,19,0,1
Shoplifting,9991,5385,4492,13,101
Theft from Building,663,375,285,0,3
Theft from Coin-Operated Machine or Device,85,77,8,0,0
Theft from Motor Vehicle,510,356,154,0,0
Theft of Motor Vehicle Parts or Accessories,154,104,49,0,1
All Other Larceny,9365,5182,4084,8,91
Motor Vehicle Theft,1399,641,755,0,3
Counterfeiting/Forgery,2704,1714,949,22,19
False Pretenses/Swindle/Confidence Game,1845,1144,687,0,14
Credit Card/Automatic Teller Machine Fraud,366,231,131,2,2
Impersonation,360,201,156,0,3
Welfare Fraud,78,44,34,0,0
Wire Fraud,2,1,1,0,0
Embezzlement,1408,818,570,3,17
Stolen Property Offenses,968,420,543,1,4
DestructionDamage/Vandalism of Property,4088,2669,1394,5,20
Drug/Narcotic Violations,26022,13907,11964,22,129
Drug Equipment Violations,262,173,86,1,2
Incest,7,4,3,0,0
Statutory Rape,112,63,49,0,0
Pornography/Obscene Material,40,34,6,0,0
Betting/Wagering,59,44,15,0,0
Operating/Promoting/Assisting Gambling,2,2,0,0,0
Gambling Equipment Violations,14,0,14,0,0
Sports Tampering,1,1,0,0,0
Prostitution,456,211,243,0,2
Assisting or Promoting Prostitution,113,65,45,0,3
Bribery,17,11,5,0,1
Weapon Law Violations,3576,1773,1781,4,18
TOTAL,111582,60954,49741,121,766
