Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,249,18
Manslaughter,0,0,0,0,0,0,9,2
Kidnaping,4,0,0,0,4,0,669,34
"Sex Offenses, Forcible",3,1,0,0,3,1,1039,313
Robbery,1,0,2,0,3,0,1158,243
Aggravated Assault,12,0,5,0,17,0,3961,521
Simple Assault/Intimidation,33,0,19,0,52,0,29675,4634
Arson,0,0,0,0,0,0,163,164
Extortion/Blackmail,0,0,0,0,0,0,30,12
Burglary,7,0,2,0,9,0,2645,1128
Larceny,36,9,34,2,70,11,16647,4369
Motor Vehicle Theft,3,4,2,0,5,4,1006,393
Counterfeiting/Forgery,6,0,37,0,43,0,2620,84
Fraud,9,0,64,3,73,3,2570,81
Embezzlement,3,0,11,0,14,0,1348,60
Stolen Property,4,0,4,0,8,0,813,155
Vandalism,15,1,5,0,20,1,2825,1263
Drug/Narcotic Offenses,169,7,164,11,333,18,23524,2760
"Sex Offenses, Nonforcible",0,0,0,0,0,0,109,10
Pornography,3,0,0,0,3,0,36,4
Gambling,0,0,2,0,2,0,72,4
Prostitution,0,1,0,0,0,1,567,2
Bribery,0,0,0,0,0,0,14,3
Weapon Law Violations,6,0,76,2,82,2,2931,645
TOTAL GROUP A,314,23,427,18,741,41,94680,16902
Bad Checks,1,0,1,0,2,0,7275,18
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,173,1937
Disorderly Conduct,55,1,15,0,70,1,5101,1404
Driving Under Influence,325,5,355,2,680,7,24059,277
Drunkenness,440,0,117,0,557,0,25219,274
"Family Offenses, Nonforcible",1,1,4,0,5,1,1103,44
Liquor Laws Violations,349,10,1398,77,1747,87,7442,1466
Peeping Tom,4,0,0,0,4,0,107,7
Runaway,0,0,0,0,0,0,0,4019
Trespass of Real Property,96,1,33,0,129,1,6847,874
Conspiracy,1,0,1,0,2,0,211,5
All Other (except Traffic),421,4,719,49,1140,53,77897,6191
TOTAL GROUP B,1693,22,2643,128,4336,150,155434,16516
GRAND TOTAL,2007,45,3070,146,5077,191,250114,33418
