Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""Disturbance"" calls (family quarrels, man with gun, etc.)",391,30.2
2. Burglaries in progress or pursuing burglary suspects,12,0.9
3. Robberies in progress or pursuing robbery suspects,5,0.4
4. Attempting other arrests,292,22.6
"5. Civil disorder (riot, mass disobedience)",16,1.2
"6. Handling, transporting, custody of prisoners",149,11.5
7. Investigating suspicious persons or circumstances,100,7.7
8. Ambush - no warning,4,0.3
9. Mentally deranged,25,1.9
10. Traffic pursuits and stops,115,8.9
11. All Other,185,14.3
12. Total,1294,100
