Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,231,0,0,2,0,0,0,19,0,0,6,112,0,1,3,0,2,112,12,0,0,0,0,0,2
Emory & Henry Campus Police,,,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrum College Police,,,75,0,0,0,2,0,0,6,6,0,4,38,1,0,0,0,0,14,4,0,0,0,0,0,0
George Mason University PD,,,596,0,2,4,4,1,6,36,3,1,19,307,20,12,13,0,2,114,103,0,0,0,0,0,6
Hampton University PD,,,214,0,0,0,0,2,0,16,0,0,35,147,0,1,11,1,0,26,8,0,0,0,0,0,4
James Madison University PD,,,371,0,2,1,0,0,3,8,1,0,9,197,4,2,15,0,0,115,49,0,3,0,0,0,1
Longwood College PD,,,85,0,0,0,0,0,1,3,0,0,0,44,0,0,0,0,1,32,4,0,0,0,0,0,0
Mary Washington College PD ,,,52,0,0,0,0,0,0,0,0,0,1,36,0,1,1,0,0,14,3,0,0,0,0,0,0
Norfolk State University PD,,,318,1,1,2,3,14,4,24,4,0,68,138,14,1,6,0,0,69,4,1,0,0,0,0,3
N. Virginia Comm College PD,,,220,0,0,0,0,1,0,8,0,0,0,150,7,1,2,0,0,59,0,0,0,0,0,0,1
Old Dominion Campus PD,,,185,0,0,0,0,1,0,8,0,0,2,97,5,7,0,0,2,65,3,0,0,0,0,0,3
Radford University PD,,,195,0,0,3,2,0,4,22,0,0,0,64,3,1,9,0,0,68,26,0,0,0,0,0,2
Thomas Nelson Comm Col PD,,,40,0,0,0,0,0,0,3,0,0,0,26,2,2,2,0,0,4,1,0,0,0,0,0,0
University of Richmond PD,,,246,0,0,2,1,0,4,13,2,0,9,103,4,5,4,0,0,96,41,0,0,0,0,0,1
University of Virginia PD,,,370,0,1,0,1,2,2,45,0,0,6,233,3,0,1,1,0,85,19,0,0,0,0,0,0
UVA's College at Wise PD,,,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD,,,817,0,1,2,14,7,18,75,3,0,8,465,11,18,18,2,0,39,159,0,0,0,0,0,22
Virginia Tech Police Department0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Western Comm. College PD,,,28,0,0,0,0,0,0,3,0,0,0,20,0,0,2,0,0,6,0,0,0,0,0,0,0
VMI Post Police,,,15,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia State Univ. Police,,,144,0,0,0,1,6,4,17,0,0,1,79,3,1,0,0,0,41,5,0,0,0,1,0,1
William & Mary College PD,,,333,0,0,1,2,1,0,12,0,0,4,186,0,0,1,0,0,139,6,0,1,0,0,0,0
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
