Location,Total Offenses
Air/Bus/Train Terminal,2
Bank/Savings and Loan,0
Bar/Night Club,5
Church/Synagogue/Temple,9
Commercial/Office Building,34
Construction Site,15
Convenience Store,4
Department/Discount Store,9
Drug Store/Doctor's Office/Hospital,7
Field/Woods,105
Government/Public Building,20
Grocery/Supermarket,12
Highway/Road/Alley,183
Hotel/Motel/Etc.,12
Jail/Prison,2
Lake/Waterway,1
Liquor Store,0
Parking Lot/Garage,113
Rental Storage Facility,10
Residence/Home,687
Restaurant,16
School/College,136
Service/Gas Station,8
Specialty Store,13
Other/Unknown,164
Total,1567
