,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,7,91,159,143,136,132,153,141,108,137,140,110
"Assault, Aggrav.",758,606,830,822,903,823,967,925,907,824,778,686
"Assault, Other",5694,5151,7146,6798,7161,6368,6579,6730,6893,6572,5878,5505
Bribery,0,2,1,3,0,3,0,0,0,2,4,1
Burglary,2460,1846,2399,2434,2618,2325,2319,2389,2840,2230,2020,2117
Counterfeiting,750,617,841,746,759,694,747,796,624,600,573,587
Destruction,7015,5736,7550,7527,7847,8076,8651,9098,7856,7738,7221,6969
Drug,3069,2581,3551,3272,3532,2889,3185,3213,2927,3097,2665,2642
Embezzlement,285,189,230,222,270,242,233,293,216,246,220,283
Extortion,5,11,2,7,6,8,7,6,9,7,9,10
Fraud,1202,1020,1337,1281,1327,1227,1272,1242,1099,1178,1086,1142
Gambling,19,9,18,9,10,3,4,3,3,5,0,0
"Homicide, Murder",32,29,30,33,34,40,31,30,37,29,36,24
"Homicide, Neg.",1,0,3,1,1,2,1,3,1,1,3,0
Kidnapping,111,85,106,108,126,85,124,126,110,124,116,121
Larceny,13671,11243,14139,14134,15541,14013,15581,15644,14325,13389,11677,11820
MV Theft,1445,1174,1478,1352,1438,1417,1705,1734,1500,1494,1453,1376
Pornography,20,11,14,8,14,10,15,17,10,17,21,6
Prostitution,87,67,73,71,58,132,76,93,69,80,63,33
Robbery,592,409,531,575,575,489,621,588,530,533,549,584
"Forcible Sex, Rape",128,123,159,142,148,157,182,159,130,121,125,119
"Forcible Sex, Other",287,197,274,273,308,301,318,292,290,284,204,179
onforcible Sex,23,22,23,27,17,16,27,20,20,12,34,4
Stolen Property,108,67,109,129,123,117,143,110,95,81,99,108
Weapon Laws,661,654,903,845,881,742,863,795,794,782,765,758
Group A Offenses,38540,31940,41906,40962,43833,40311,43804,44447,41393,39583,35739,35184
Group A Incidents,33438,27825,36689,36036,38464,35475,38481,40131,37156,35953,32405,31731
"Assaults, Other includes simple assaults, and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other includes sodomy, sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
