COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,88400,4613.12,4078,5,7,34,45,18,71,1042,14,3,248,1557,89,48,316,56,2,1136,300,0,8,0,0,0,64
State Police,,,52,0,0,0,0,1,3,1,0,0,0,2,2,1,19,0,0,1,21,0,0,0,0,0,4
Arlington County PD6,192900,5079.31,9798,3,24,30,78,208,204,1319,8,3,374,4006,599,215,912,74,104,1438,924,1,7,10,28,1,94
State Police,,,22,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,1,15,0,0,0,0,0,1
Chesterfield County PD,275600,6107.76,16833,13,41,53,200,193,281,4343,83,1,1412,6662,471,257,769,127,29,4220,1428,9,8,0,29,2,382
State Police,,,155,0,0,0,2,0,7,6,0,0,0,7,6,2,20,1,0,0,107,0,0,0,0,0,12
Fairfax County PDi,975992,3687.94,35994,6,90,54,128,355,237,6486,119,4,461,14978,1462,244,1284,219,12,11922,1455,0,11,34,89,2,552
State Police,,,265,0,0,0,1,1,22,15,0,0,1,14,6,24,21,3,0,6,157,0,1,0,0,0,10
Henrico County PD,275100,7161.75,19702,20,70,33,40,334,285,3584,118,0,1632,9432,782,370,504,38,39,4205,1179,8,3,0,9,1,269
State Police,,,160,1,0,0,0,0,2,6,0,0,0,14,2,3,23,0,0,1,102,0,0,0,0,0,10
James City County PD,53100,4583.8,2434,1,26,18,28,19,40,698,6,0,144,828,79,44,85,18,4,659,166,1,2,0,0,0,50
State Police,,,92,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,88,0,0,0,0,0,1
Prince George County PD,35800,2916.2,1044,1,0,8,12,14,22,175,4,0,69,448,18,20,24,5,4,219,160,4,0,0,0,0,27
State Police,,,39,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,34,0,0,0,0,0,2
Prince William County PD,320964,4824.52,15485,9,52,31,139,199,305,2901,81,3,983,5870,788,280,837,151,52,2681,1544,14,5,2,2,0,326
State Police,,,191,0,0,1,0,1,5,10,0,1,0,21,3,2,35,2,0,6,104,0,2,0,0,0,10
Roanoke County PD,79618,4217.63,3358,1,19,13,42,16,172,1275,15,1,258,1016,95,157,291,31,1,484,296,0,2,0,1,0,51
State Police,,,48,0,0,0,0,0,4,0,0,0,0,6,4,0,19,0,0,0,15,0,0,0,0,0,2
