Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,373,147,74,78,155,138,182,251,249,290,371,379,93
Tuesday,345,159,76,70,172,183,201,257,256,310,423,369,80
Wednesday,416,185,81,86,160,156,217,232,255,296,394,434,106
Thursday,355,167,104,92,143,116,198,221,233,271,390,391,100
Friday,421,176,82,86,127,170,211,284,300,312,508,482,105
Saturday,672,416,202,90,144,162,221,224,243,283,444,521,90
Sunday,577,440,170,74,114,119,191,205,228,303,382,386,68
TOTAL,3159,1690,789,576,1015,1044,1421,1674,1764,2065,2912,2962,642
