Violent Crime Where Offender(s) Suspected of Using By Offense,,,
Suspected of Using,Alcohol,Computer Equipment,Drugs
Murder/Non-Negligent Manslaughter,15,0,5
Negligent Manslaughter,1254,7,152
Aggravated Assault,233,2,68
Forcible Rape,44,13,22
Forcible Sodomy,37,0,6
Sexual Assault with an Object,99,1,20
Forcible Fondling,175,6,71
Robbery,1857,29,344
Total,3714,58,688
