Rank,Name,Year
1,Honda Accord,1994
2,Ford Pick-Up (Full Size),1999
3,Honda Civic,2000
4,Toyota Camry,1998
5,Chevrolet Pick-Up (Full Size),2000
5,Toyota Corolla,2003
6,Ford Explorer,2003
7,Nissan Altima,2012
8,Dodge Caravan,1999
8,Ford Taurus,2003
