Communication Services,FY 2008,FY 2007,FY 2006
Complaints Answered,"43,680","41,992","39,226"
Escorts,227,353,398
Accidents Worked,1016,1223,1148
Assist Motorists,2429,2195,2093
Alarms Answered,1265,951,889
First Aid (Police Response),1829,1893,1521
Fire Dept.(Police Respone),736,321,372
Total of Communication Services,"51,182","48,928","45,647"
