Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Farmville Police Department,09/11/2009,10-FS25801,01,"$1,023.00 U.S. CURRENCY",Forfeiture,"$1,023.00",09/15/2009,05/14/2010,,,"$1,023.00",05/14/2010
Farmville Police Department,10/04/2009,10-FS28802,01,"$1,023.00 U.S. CURRENCY",Pending,"$1,023.00",10/15/2009,,,,$0.00,
Farmville Police Department,10/19/2009,10-FS29401,01,1997 FORD CROWN VICTORIA,Return To Owner,"$2,500.00",10/21/2009,08/27/2010,,,$0.00,08/27/2010
Farmville Police Department,03/23/2010,10-FS08402,01,"$1,387.00 U.S. CURRENCY",Forfeiture,"$1,387.00",03/25/2010,08/16/2010,,,"$1,387.00",08/16/2010
Farmville Police Department,05/03/2010,10-FS12304,01,"$4,531.00 U.S. CURRENCY",Forfeiture,"$4,531.00",05/03/2010,09/21/2010,,,"$2,265.00",09/21/2010
Farmville Police Department,07/14/2010,11-FS20103,01,$651.00 U.S. CURRENCY,Forfeiture,$651.00,07/20/2010,09/21/2010,,,$651.00,09/21/2010
Farmville Police Department,08/02/2010,11-FS21503,01,"$1,009.00 U.S. CURRENCY",Forfeiture,"$1,009.00",08/03/2010,07/19/2011,,,"$1,009.00",07/19/2011
Farmville Police Department,08/14/2010,11-FS22807,01,"$5,262.00 U.S. CURRENCY",Forfeiture,"$5,262.00",08/16/2010,10/28/2010,,,"$5,262.00",10/28/2010
Farmville Police Department,10/13/2010,11-FS28703,01,$900.00 U.S. CURRENCY,Forfeiture,$900.00,10/14/2010,12/17/2010,,,$900.00,12/17/2010
Farmville Police Department,11/10/2010,11-FS31503,01,"$1,802.00 U.S. CURRENCY",Pending,"$1,802.00",11/11/2010,,,,$0.00,
Farmville Police Department,11/23/2010,11-FS33306,01,1988 MERCEDES,Forfeiture,"$1,250.00",11/29/2010,01/17/2012,03/20/2012,,$800.00,03/20/2012
Farmville Police Department,11/23/2010,11-FS33306,02,1992 BMW,Forfeiture,"$1,250.00",11/29/2010,01/17/2012,03/20/2012,,"$1,000.00",03/20/2012
Farmville Police Department,11/23/2010,11-FS33306,03,1996 CADILLAC,Release To Lien Holder,"$1,250.00",11/29/2010,01/17/2012,,,$0.00,01/17/2012
Farmville Police Department,11/23/2010,11-FS33306,04,2000 CADILLAC ESCALADE,Return To Owner,"$5,000.00",11/29/2010,01/17/2012,,,$0.00,01/17/2012
Farmville Police Department,11/30/2010,11-FS33401,01,2000 CHEVROLET TAHOE,Dismissal,"$5,000.00",11/30/2010,03/10/2011,,,$0.00,03/10/2011
Farmville Police Department,02/02/2011,11-FS03401,01,"$1,596.00 U.S. CURRENCY",Forfeiture,"$1,596.00",02/03/2011,03/20/2012,,,"$1,596.00",03/20/2012
Farmville Police Department,02/02/2011,11-FS03401,02,1981 CHEVROLET PICKUP,Forfeiture,"$1,500.00",02/03/2011,02/29/2012,03/20/2012,,"$1,350.00",03/20/2012
Farmville Police Department,02/02/2011,11-FS03401,03,1994 FORD,Forfeiture,"$5,000.00",02/03/2011,03/20/2012,,,$0.00,03/20/2012
Farmville Police Department,02/02/2011,11-FS03402,01,"$1,435.00 U.S. CURRENCY",Forfeiture,"$1,435.00",02/03/2011,08/27/2013,,,$717.50,08/27/2013
Farmville Police Department,02/15/2011,11-FS04607,01,2006 DODGE MAGNUM,Forfeiture,"$3,000.00",02/15/2011,02/22/2012,03/20/2012,,"$5,535.00",03/20/2012
Farmville Police Department,02/15/2011,11-FS04607,02,"$1,285.00 U.S. CURRENCY",Forfeiture,"$1,285.00",02/15/2011,02/22/2012,,,"$1,285.00",02/22/2012
Farmville Police Department,05/04/2011,11-FS12406,01,$727.00 U.S. CURRENCY,Forfeiture,$727.00,05/04/2011,07/19/2011,,,$727.00,07/19/2011
Farmville Police Department,07/25/2011,12-FS29902,01,"$7,620.00 U.S. Currency",Forfeiture,"$7,620.00",10/26/2011,02/16/2012,,,"$7,620.00",02/16/2012
