Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Giles County Sheriff's Office,02/02/2009,10-FS02703,01,$977.00 U.S. CURRENCY,Forfeiture,$977.00,01/27/2010,01/27/2010,,,$977.00,01/27/2010
Giles County Sheriff's Office,03/02/2009,10-FS04801,01,"$9,000.00 U.S. CURRENCY",Forfeiture,"$9,000.00",02/17/2010,02/03/2010,,,"$9,000.00",02/03/2010
Giles County Sheriff's Office,06/29/2009,10-FS18801,01,1986 JEEP CJ7,Forfeiture,"$4,000.00",07/07/2009,07/07/2010,10/14/2010,,"$5,400.00",10/14/2010
Giles County Sheriff's Office,06/29/2009,10-FS18801,02,"$1,840.00 U.S. CURRENCY",Forfeiture,"$1,840.00",07/07/2009,07/07/2010,,,"$1,840.00",07/07/2010
Giles County Sheriff's Office,06/29/2009,10-FS18801,03,18 WEAPONS,Forfeiture,"$5,000.00",07/07/2009,07/07/2010,,,$0.00,01/17/2012
Giles County Sheriff's Office,06/29/2009,10-FS18801,04,SANYO 27 INCH FLAT SCREEN TV,Forfeiture,$500.00,07/07/2009,07/07/2010,,,$0.00,01/17/2012
Giles County Sheriff's Office,07/24/2009,10-FS21802,01,1997 FORD E350,Forfeiture,"$7,500.00",08/06/2009,02/03/2010,10/14/2010,,"$2,700.00",10/14/2010
Giles County Sheriff's Office,07/24/2009,10-FS21802,02,"$1,366.00 U.S. CURRENCY",Forfeiture,"$1,366.00",08/06/2009,02/03/2010,,,"$1,366.00",02/03/2010
Giles County Sheriff's Office,09/14/2009,10-FS26003,01,"$1,792.00",Pending,"$1,792.00",09/17/2009,,,,$0.00,
Giles County Sheriff's Office,11/18/2009,10-FS32401,01,$770.56 U.S. CURRENCY,Forfeiture,$770.56,11/20/2009,02/26/2010,,,$770.56,02/26/2010
Giles County Sheriff's Office,04/13/2010,10-FS11606,01,"$6,747.00 U.S. CURRENCY",Forfeiture,"$6,747.00",04/26/2010,07/07/2011,,,"$6,747.00",07/07/2011
Giles County Sheriff's Office,08/04/2010,11-FS23505,01,121 WEAPONS,Forfeiture,"$5,000.00",08/23/2010,06/11/2012,,,"$15,646.00",06/11/2012
Giles County Sheriff's Office,09/20/2010,12-FS18817,01,2005 FORD F-250,Forfeiture,"$19,000.00",07/07/2011,01/31/2012,04/13/2012,,"$16,200.00",04/13/2012
Giles County Sheriff's Office,09/20/2010,12-FS18817,02,"$3,539.00 U.S. CURRENCY",Forfeiture,"$3,539.00",07/07/2011,07/07/2011,,,"$3,539.00",07/07/2011
Giles County Sheriff's Office,10/31/2012,13-FS31211,01,2001 FORD F-150,Pending,"$6,000.00",11/07/2012,,,,$0.00,
Giles County Sheriff's Office,03/05/2013,13-FS07105,01,2005 LINCOLN  Aviator-V8,Pending,"$10,000.00",03/12/2013,,,,$0.00,
Giles County Sheriff's Office,01/30/2014,14-FS03488,01,"$12,705.00 U.S. Currency",Pending,"$12,705.00",02/03/2014,,,,$0.00,
Giles County Sheriff's Office,10/20/2014,15-FS30258,01,$797.00 U.S. Currency,Pending,$797.00,10/29/2014,,,,$0.00,
Giles County Sheriff's Office,10/20/2014,15-FS30259,01,"$1,612.00 U.S. Currency",Pending,"$1,612.00",10/29/2014,,,,$0.00,
Giles County Sheriff's Office,10/20/2014,15-FS30259,02,"$34,975.03 U.S. Currency",Pending,"$34,975.03",10/29/2014,,,,$0.00,
