Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Henrico County Division of Police,03/17/2008,08-FS15503,01,1998 LINCOLN NAVIGATOR,Forfeiture,"$2,000.00",06/03/2008,10/08/2009,03/18/2014,,$0.00,03/18/2014
Henrico County Division of Police,10/01/2008,09-FS29804,01,"$12,839.00 U.S. CURRENCY",Dismissal,"$12,839.00",10/24/2008,09/29/2014,,,$0.00,09/29/2014
Henrico County Division of Police,04/18/2009,13-FS10717,01,22 gold Krugerrand coins,Forfeiture,"$35,000.00",04/17/2013,04/17/2013,,,$0.00,04/17/2013
Henrico County Division of Police,05/05/2009,12-FS16401,01,"$32,000.00 US CURRENCY",Forfeiture,"$32,000.00",06/12/2012,11/14/2012,,,"$32,000.00",11/14/2012
Henrico County Division of Police,05/28/2009,10-FS18803,01,$620.70 U.S. CURRENCY,Forfeiture,$620.70,07/07/2009,03/22/2010,,,$0.00,03/22/2010
Henrico County Division of Police,06/10/2009,10-FS18805,01,$877.00 U.S. CURRENCY,Forfeiture,$877.00,07/07/2009,03/23/2010,,,$877.00,03/23/2010
Henrico County Division of Police,06/22/2009,10-FS21104,01,1993 LINCOLN TOWN CAR,Return To Owner,"$1,300.00",07/30/2009,08/17/2011,,,$0.00,08/17/2011
Henrico County Division of Police,07/03/2009,10-FS18804,01,"$4,227.43",Return To Owner,"$4,227.43",07/07/2009,01/02/2013,,,$0.00,01/02/2013
Henrico County Division of Police,07/03/2009,10-FS21103,01,$546.00 U.S. CURRENCY,Forfeiture,$546.00,07/30/2009,03/22/2010,,,$0.00,03/22/2010
Henrico County Division of Police,07/14/2009,10-FS21102,01,1997 TOYOTA CAMRY,Return To Owner,$500.00,07/30/2009,03/23/2010,,,$0.00,03/23/2010
Henrico County Division of Police,07/14/2009,10-FS21102,02,"$1,021.00 U.S. CURRENCY",Forfeiture,"$1,021.00",07/30/2009,03/23/2010,,,$721.00,03/23/2010
Henrico County Division of Police,07/14/2009,10-FS21105,01,2004 CHEVROLET TAHOE,Return To Owner,"$12,000.00",07/30/2009,09/29/2014,,,$0.00,09/29/2014
Henrico County Division of Police,07/14/2009,10-FS21105,02,"$2,207.00 U.S. CURRENCY",Forfeiture,"$2,207.00",07/30/2009,04/01/2011,,,"$1,807.00",04/01/2011
Henrico County Division of Police,08/11/2009,10-FS23602,01,2007 ACURA MDX,Pending,"$26,675.00",08/24/2009,11/16/2009,,,$0.00,11/16/2009
Henrico County Division of Police,08/11/2009,10-FS23602,02,2005 NISSAN TITAN,Return To Owner,"$10,300.00",08/24/2009,11/16/2009,,,$0.00,11/16/2009
Henrico County Division of Police,08/12/2009,10-FS23603,01,"$8,275.00 U.S. CURRENCY",Return To Owner,"$8,275.00",08/27/2009,09/29/2014,,,$0.00,09/29/2014
Henrico County Division of Police,09/08/2009,10-FS28203,01,1999 DAEWOO LEGANZA,Return To Owner,"$1,125.00",10/09/2009,04/01/2011,,,$0.00,04/01/2011
Henrico County Division of Police,09/08/2009,10-FS28203,02,$775.10 U.S. CURRENCY,Forfeiture,$775.10,10/09/2009,04/01/2011,,,$775.10,04/01/2011
Henrico County Division of Police,09/12/2009,10-FS26602,01,"$3,420.00 U.S. CURRENCY",Forfeiture,"$3,420.00",09/23/2009,03/23/2010,,,"$3,420.00",03/23/2010
Henrico County Division of Police,09/28/2009,10-FS30103,01,2001 DODGE REGENCY,Return To Owner,"$2,500.00",10/28/2009,04/12/2010,,,$0.00,04/12/2010
Henrico County Division of Police,09/28/2009,10-FS30103,02,"$6,300.00 U.S. CURRENCY",Return To Owner,"$6,300.00",10/28/2009,04/12/2010,,,$0.00,04/12/2010
Henrico County Division of Police,10/07/2009,10-FS31718,01,2002 CHEVROLET TRAIL BLAZER,Release To Lien Holder,"$7,500.00",11/13/2009,04/29/2010,,,$0.00,04/29/2010
Henrico County Division of Police,10/11/2009,10-FS30104,01,"$6,470.00 U.S. CURRENCY",Return To Owner,"$6,470.00",10/28/2009,04/12/2010,,,$0.00,04/12/2010
Henrico County Division of Police,10/15/2009,10-FS30102,01,$759.48 U.S. CURRENCY,Forfeiture,$759.48,10/28/2009,06/10/2010,,,$0.00,06/10/2010
Henrico County Division of Police,10/20/2009,10-FS31715,01,"$1,665.00 U.S. CURRENCY",Dismissal,"$1,665.00",11/13/2009,08/16/2010,,,$0.00,08/16/2010
Henrico County Division of Police,10/21/2009,10-FS31716,01,2007 FORD MUSTANG,Forfeiture,"$15,000.00",11/13/2009,09/17/2010,,,"$5,000.00",09/17/2010
Henrico County Division of Police,10/23/2009,10-FS31717,01,"$26,941.08 U.S. CURRENCY",Forfeiture,"$26,941.08",11/13/2009,12/21/2010,,,"$7,210.53",12/21/2010
Henrico County Division of Police,10/23/2009,10-FS31717,02,BREITLING A13357 WRISTWATCH,Return To Owner,$500.00,11/13/2009,01/03/2013,,,$0.00,01/03/2013
Henrico County Division of Police,10/30/2009,10-FS35603,01,2001 CHEVROLET TAHOE,Dismissal,"$10,000.00",12/22/2009,09/29/2014,,,$0.00,09/29/2014
Henrico County Division of Police,10/30/2009,10-FS35603,02,"$2,577.86 U.S. CURRENCY",Return To Owner,"$2,577.86",12/22/2009,06/10/2010,,,$0.00,06/10/2010
Henrico County Division of Police,11/05/2009,10-FS35601,01,1996 ACURA INTEGRA,Return To Owner,"$5,000.00",12/22/2009,04/29/2010,,,$0.00,04/29/2010
Henrico County Division of Police,11/24/2009,10-FS35602,01,"$2,320.00 U.S. CURRENCY",Forfeiture,"$2,320.00",12/22/2009,06/08/2010,,,"$2,320.00",06/08/2010
Henrico County Division of Police,01/14/2010,10-FS05703,01,2004 AUDI A8,Return To Owner,"$4,500.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,02,"$1,600.00 U.S. CURRENCY",Return To Owner,"$1,600.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,03,1998 LEXUS LS400,Return To Owner,"$1,000.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,04,JOE RODEO WATCH,Return To Owner,"$2,100.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,05,GOLD/DIAMOND NECKLACE W/PENDANT,Return To Owner,"$1,050.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,06,GOLD/DIAMOND BRACELET,Return To Owner,"$2,600.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,07,JOE RODEO WATCH W/LEATHER STRAP,Return To Owner,"$1,800.00",02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,08,DIAMOND ENCRUSTED GOLD RING,Return To Owner,$500.00,02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,09,"73"" MITSUBISHI TV",Return To Owner,$800.00,02/26/2010,01/07/2013,,,$0.00,01/07/2013
Henrico County Division of Police,01/14/2010,10-FS05703,10,"52"" MITSUBISHI TELEVISION",Return To Owner,$500.00,02/26/2010,01/13/2011,,,$0.00,01/13/2011
Henrico County Division of Police,01/14/2010,10-FS05703,11,DELL LAPTOP,Return To Owner,$500.00,02/26/2010,01/02/2013,,,$0.00,01/02/2013
Henrico County Division of Police,01/14/2010,10-FS05703,12,DELL LAPTOP COMPUTER 2,Return To Owner,$500.00,02/26/2010,01/02/2013,,,$0.00,01/02/2013
Henrico County Division of Police,02/11/2010,10-FS08203,01,"$2,145.00 U.S. CURRENCY",Forfeiture,"$2,145.00",03/23/2010,04/11/2011,,,"$2,145.00",04/11/2011
Henrico County Division of Police,02/17/2010,10-FS08201,01,"$2,938.00 U.S. CURRENCY",Forfeiture,"$2,938.00",03/23/2010,04/01/2011,,,"$1,469.00",04/01/2011
Henrico County Division of Police,02/17/2010,10-FS08202,01,"$32,105.00 U.S. CURRENCY",Forfeiture,"$32,105.00",03/23/2010,05/03/2011,,,"$32,025.00",05/03/2011
Henrico County Division of Police,02/17/2010,10-FS11610,01,$970.79 U.S. CURRENCY,Return To Owner,$970.79,04/26/2010,12/21/2010,,,$0.00,12/21/2010
Henrico County Division of Police,02/23/2010,10-FS15812,01,$825.00 U.S. CURRENCY,Forfeiture,$825.00,06/07/2010,04/01/2011,,,$825.00,04/01/2011
Henrico County Division of Police,03/09/2010,10-FS07801,01,"$1,239.00 U.S. CURRENCY",Forfeiture,"$1,239.00",03/19/2010,04/01/2011,,,"$1,239.00",04/01/2011
Henrico County Division of Police,03/09/2010,10-FS07802,01,$795.00 U.S. CURRENCY,Forfeiture,$795.00,03/19/2010,04/01/2011,,,$795.00,04/01/2011
Henrico County Division of Police,03/12/2010,10-FS07804,01,2000 DUCATI 748,Return To Owner,"$5,000.00",03/19/2010,10/01/2010,,,$0.00,10/01/2010
Henrico County Division of Police,03/25/2010,10-FS11609,01,2000 JAGUAR S-SERIES,Return To Owner,"$5,000.00",04/26/2010,11/15/2010,,,$0.00,11/15/2010
Henrico County Division of Police,03/25/2010,10-FS11609,02,$563.00 U.S. CURRENCY,Forfeiture,$563.00,04/26/2010,10/31/2011,,,$563.00,10/31/2011
Henrico County Division of Police,03/25/2010,10-FS11609,03,1995 DODGE RAM PICKUP,Return To Owner,"$1,000.00",04/26/2010,11/15/2010,,,$0.00,11/15/2010
