Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Southside Drug Task Force,06/24/2010,11-FS18902,01,1973 PLYMOUTH FURY,Forfeiture,"$1,500.00",07/08/2010,04/26/2011,,,"$1,886.34",04/26/2011
Southside Drug Task Force,06/24/2010,11-FS18902,02,1985 CHEVROLET MONTE CARLO,Forfeiture,"$1,500.00",07/08/2010,04/26/2011,,,"$1,500.00",04/26/2011
Southside Drug Task Force,06/24/2010,11-FS18902,03,"$4,753.00 U.S. CURRENCY",Forfeiture,"$4,753.00",07/08/2010,11/22/2011,,,"$4,678.00",11/22/2011
Southside Drug Task Force,07/09/2010,11-FS19704,01,"$2,930.00 U.S. CURRENCY",Forfeiture,"$2,930.00",07/16/2010,03/31/2011,,,"$2,855.00",03/31/2011
Southside Drug Task Force,09/16/2011,12-FS27706,01,$572.00 U.S. CURRENCY,Forfeiture,$572.00,10/10/2011,08/21/2013,,,$0.00,08/21/2013
Southside Drug Task Force,09/17/2011,12-FS27707,01,2006 FORD E-350,Pending,"$8,000.00",10/12/2011,,,,$0.00,
Southside Drug Task Force,09/18/2011,12-FS27708,01,$855.00 U.S. CURRENCY,Forfeiture,$855.00,10/12/2011,10/01/2013,,,$780.00,10/01/2013
Southside Drug Task Force,09/18/2011,12-FS27708,02,.40 Sig Sauer Handgun,Pending,$500.00,10/12/2011,12/16/2013,,,$0.00,12/16/2013
Southside Drug Task Force,09/18/2011,12-FS27708,03,30-06 Winchester Bolt Rifle,Pending,$500.00,10/12/2011,12/16/2013,,,$0.00,12/16/2013
Southside Drug Task Force,09/18/2011,12-FS27708,04,9MM Baretta Handgun,Return To Owner,$500.00,10/12/2011,12/16/2013,,,$0.00,12/16/2013
Southside Drug Task Force,02/02/2012,12-FS04414,01,2000 HYUNDAI TIBURON 2D,Forfeiture,"$3,000.00",02/13/2012,07/26/2013,05/13/2014,,$825.00,05/13/2014
Southside Drug Task Force,02/03/2012,12-FS04413,01,2001 FORD RANGER,Forfeiture,"$6,500.00",02/13/2012,05/13/2014,,,"$2,025.00",05/13/2014
Southside Drug Task Force,02/03/2012,12-FS04413,02,"$1,265.20 U.S. CURRENCY",Forfeiture,"$1,265.20",02/13/2012,08/27/2013,,,"$1,190.20",08/27/2013
Southside Drug Task Force,05/02/2013,13-FS13506,01,"$1,215.00 U.S. Currency",Forfeiture,"$1,215.00",05/15/2013,04/08/2014,,,"$1,215.00",04/08/2014
Southside Drug Task Force,05/02/2013,13-FS13506,02,Palmetto semi auto rifle 223 cal four thirty round magazines with sigsauer scope,Pending,$800.00,05/15/2013,,,,$0.00,
