Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Alleghany County Sheriff's Office,02/06/2009,10-FS35701,01,"$3,815.00 U.S. CURRENCY",Forfeiture,"$3,815.00",12/23/2009,01/03/2013,,,"$3,815.00",01/03/2013
Alleghany County Sheriff's Office,02/21/2009,10-FS35702,01,2004 CHEVROLET CAVALIER,Forfeiture,"$3,000.00",12/23/2009,09/30/2014,,,"$2,800.00",09/30/2014
Alleghany County Sheriff's Office,10/19/2009,10-FS30201,01,2002 CHEVROLET SILVERADO,Forfeiture,"$1,000.00",10/29/2009,06/16/2011,06/10/2014,,"$3,500.00",06/10/2014
Alleghany County Sheriff's Office,07/24/2010,11-FS22102,01,"$22,600.00 U.S. CURRENCY",Forfeiture,"$22,600.00",08/09/2010,01/03/2013,,,"$15,000.00",01/03/2013
Alleghany County Sheriff's Office,11/12/2010,11-FS34802,01,1997 HONDA ACCORD,Pending,"$2,000.00",12/14/2010,05/30/2012,,,$0.00,05/30/2012
Alleghany County Sheriff's Office,04/05/2011,11-FS10414,01,2004 VOLVO,Return To Owner,"$8,000.00",04/14/2011,06/09/2014,,,$0.00,06/09/2014
Alleghany County Sheriff's Office,09/29/2011,12-FS27801,01,TOSHIBA LAPTOP,Return To Owner,$500.00,10/05/2011,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,09/29/2011,12-FS27801,02,"VIZIO 42"" TELEVISION",Forfeiture,$500.00,10/05/2011,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,02/08/2012,12-FS17706,01,"$1,000.00 US CURRENCY",Forfeiture,"$1,000.00",06/25/2012,01/03/2013,,,"$1,000.00",01/03/2013
Alleghany County Sheriff's Office,02/08/2012,14-FS15500,01,"$1,000.00 U.S. Currency",Forfeiture,"$1,000.00",06/04/2014,06/10/2014,,,"$1,000.00",06/10/2014
Alleghany County Sheriff's Office,02/11/2012,12-FS08610,01,"$1,715.00 U.S. CURRENCY",Forfeiture,"$1,715.00",03/26/2012,01/03/2013,,,"$1,715.00",01/03/2013
Alleghany County Sheriff's Office,05/01/2012,14-FS15590,01,"$1,205.00 U.S. Currency",Forfeiture,"$1,205.00",06/04/2014,06/10/2014,,,"$1,205.00",06/10/2014
Alleghany County Sheriff's Office,06/15/2012,12-FS17707,01,"$4,532.09 US CURRENCY",Forfeiture,"$4,532.09",06/25/2012,06/10/2014,,,"$4,532.09",06/10/2014
Alleghany County Sheriff's Office,06/15/2012,12-FS17708,01,2000 FORD VAN,Release To Lien Holder,"$5,000.00",06/25/2012,06/09/2014,,,$0.00,06/09/2014
Alleghany County Sheriff's Office,06/15/2012,12-FS17709,01,2000 DODGE STRATUS,Release To Lien Holder,"$5,000.00",06/25/2012,06/09/2014,,,$0.00,06/09/2014
Alleghany County Sheriff's Office,08/31/2012,14-FS15597,01,"$1,824.00 U.S. Currency",Forfeiture,"$1,824.00",06/04/2014,06/10/2014,,,"$1,824.00",06/10/2014
Alleghany County Sheriff's Office,08/31/2012,14-FS15597,02,LG TV,Pending,$500.00,06/04/2014,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,08/31/2012,14-FS15597,03,Barber Chair,Pending,$500.00,06/04/2014,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,09/30/2012,14-FS15599,01,1979 Ford  Pickup,Return To Owner,$500.00,06/04/2014,09/30/2014,,,$0.00,09/30/2014
Alleghany County Sheriff's Office,02/08/2013,14-FS15595,01,"$1,950.00 U.S. Currency",Return To Owner,"$1,950.00",06/04/2014,06/09/2014,,,$0.00,06/09/2014
Alleghany County Sheriff's Office,02/17/2013,14-FS15598,01,2002 DODGE VAN  Grand Caravan-V6,Pending,"$2,500.00",06/04/2014,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,02/17/2013,14-FS15598,02,$986.45 U.S. Currency,Forfeiture,$986.45,06/04/2014,06/10/2014,,,$986.45,06/10/2014
Alleghany County Sheriff's Office,02/17/2013,14-FS15598,03,1998 KAWASAKI  MOTORCYCLE,Pending,$750.00,06/04/2014,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,04/04/2013,14-FS15594,01,"$2,400.00 U.S. Currency",Pending,"$2,400.00",06/04/2014,,,,$0.00,
Alleghany County Sheriff's Office,06/27/2013,14-FS15501,01,2011 King American  Utility Trailer,Pending,"$2,000.00",06/04/2014,06/10/2014,,,$0.00,06/10/2014
Alleghany County Sheriff's Office,07/26/2013,14-FS16792,01,2005 Dodge  Magnum,Pending,"$4,500.00",06/16/2014,,,,$0.00,
Alleghany County Sheriff's Office,09/30/2013,14-FS15593,01,1986 Chevrolet  Pickup,Return To Owner,"$1,500.00",06/04/2014,06/19/2014,,,$0.00,06/19/2014
Alleghany County Sheriff's Office,12/29/2013,14-FS15596,01,1995 Honda  2 Dr,Pending,$500.00,06/04/2014,,,,$0.00,
Alleghany County Sheriff's Office,12/29/2013,14-FS15596,02,$719.00 U.S. Currency,Pending,$719.00,06/04/2014,,,,$0.00,
Alleghany County Sheriff's Office,01/14/2014,14-FS15589,01,"$1,945.00 U.S. Currency",Forfeiture,"$1,945.00",06/04/2014,11/20/2014,,,"$1,945.00",11/20/2014
Alleghany County Sheriff's Office,01/16/2014,14-FS15588,01,"$3,251.00 U.S. Currency",Forfeiture,"$3,251.00",06/04/2014,06/10/2014,,,"$3,251.00",06/10/2014
Alleghany County Sheriff's Office,03/27/2014,14-FS15591,01,$697.00 U.S. Currency,Forfeiture,$697.00,06/04/2014,06/10/2014,,,$697.00,06/10/2014
Alleghany County Sheriff's Office,04/22/2014,14-FS15592,01,2001 CHEVROLET TRUCK  Silverado 1500-V8,Return To Owner,"$3,000.00",06/04/2014,07/31/2014,,,$0.00,07/31/2014
Alleghany County Sheriff's Office,06/11/2014,14-FS16369,01,1999 CHEVROLET TRUCK  S10 Pickup-V6,Pending,"$1,500.00",06/12/2014,,,,$0.00,
Alleghany County Sheriff's Office,06/11/2014,14-FS16369,02,Unk  Yamaha  Motorcycle,Pending,"$1,000.00",06/12/2014,,,,$0.00,
Alleghany County Sheriff's Office,06/11/2014,14-FS16369,03,2013 Suzuki  Motorcycle 600,Pending,"$8,000.00",06/12/2014,,,,$0.00,
Alleghany County Sheriff's Office,07/16/2014,15-FS20511,01,1998 SUZUKI  Esteem-4 Cyl.,Return To Owner,"$2,000.00",07/24/2014,07/31/2014,,,$0.00,07/31/2014
Alleghany County Sheriff's Office,08/22/2014,15-FS23791,01,2004 NISSAN  Altima-4 Cyl.,Pending,"$6,500.00",08/25/2014,12/19/2014,,,$0.00,12/19/2014
Alleghany County Sheriff's Office,08/22/2014,15-FS23791,02,$602.00 U.S. Currency,Forfeiture,$602.00,08/25/2014,12/19/2014,,,$602.00,12/19/2014
Alleghany County Sheriff's Office,10/20/2014,15-FS29625,01,2000 DODGE TRUCK  Durango-V8,Pending,"$3,500.00",10/23/2014,,,,$0.00,
