Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Gate City Police Department,08/25/2009,10-FS26401,01,1992 MERCURY STATION WAGON,Forfeiture,$400.00,09/21/2009,11/24/2009,11/30/2012,,$0.00,11/30/2012
Gate City Police Department,10/31/2009,10-FS32001,01,1992 HONDA,Return To Owner,$800.00,11/16/2009,06/20/2014,,,$0.00,06/20/2014
Gate City Police Department,11/05/2009,10-FS32002,01,2000 MITSUBUSHI ECLIPSE,Forfeiture,"$3,000.00",11/16/2009,02/22/2011,11/30/2012,,$0.00,11/30/2012
Gate City Police Department,11/05/2009,10-FS32002,02,"$5,020.00 U.S. CURRENCY",Forfeiture,"$5,020.00",11/16/2009,02/02/2011,,,"$4,960.00",02/02/2011
Gate City Police Department,11/23/2010,11-FS34006,01,1993 SUBARU IMPREZIA,Pending,$800.00,12/06/2010,,,,$0.00,
Gate City Police Department,11/23/2010,11-FS34006,02,"$1,250.00 U.S. CURRENCY",Forfeiture,"$1,250.00",12/06/2010,06/15/2011,,,"$1,250.00",06/15/2011
Gate City Police Department,10/01/2011,12-FS28501,01,2006 HONDA ACCORD,Pending,"$14,000.00",10/12/2011,,,,$0.00,
Gate City Police Department,12/22/2011,12-FS00609,01,2005 Chevrolet 2500 Express Van,Pending,"$8,000.00",01/06/2012,,,,$0.00,
Gate City Police Department,12/22/2011,12-FS00609,02,"$13,640.00 U.S. CURRENCY",Forfeiture,"$13,640.00",01/06/2012,07/18/2012,,,"$13,640.00",07/18/2012
Gate City Police Department,03/23/2012,12-FS10103,01,2001 HYUNDAI SONATA,Forfeiture,"$3,500.00",04/10/2012,01/31/2013,06/20/2014,,$752.00,06/20/2014
Gate City Police Department,03/23/2012,12-FS10103,02,"$1,445.00 U.S. CURRENCY",Forfeiture,"$1,445.00",04/10/2012,01/31/2013,,,"$1,445.00",01/31/2013
