Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Stafford County Sheriff's Office,07/09/2009,10-FS19405,01,"$3,340.00 U.S. CURRENCY",Forfeiture,"$3,340.00",07/13/2009,01/12/2010,,,"$3,340.00",01/12/2010
Stafford County Sheriff's Office,03/11/2010,11-FS25618,01,"$1,001.00 U.S. CURRENCY",Forfeiture,"$1,001.00",09/13/2010,09/17/2010,,,"$1,001.00",09/17/2010
Stafford County Sheriff's Office,06/28/2010,11-FS21508,01,"$100,000.00 U.S. CURRENCY",Forfeiture,"$100,000.00",08/03/2010,09/17/2010,,,"$100,000.00",09/17/2010
Stafford County Sheriff's Office,08/06/2010,11-FS25605,01,"$1,869.00 U.S. CURRENCY",Return To Owner,"$1,869.00",09/13/2010,10/12/2012,,,$0.00,10/12/2012
Stafford County Sheriff's Office,08/06/2010,11-FS25606,01,"$1,400.00 U.S. CURRENCY",Return To Owner,"$1,400.00",09/13/2010,10/12/2012,,,$0.00,10/12/2012
Stafford County Sheriff's Office,11/01/2010,11-FS31912,01,"$2,040.00 U.S. CURRENCY",Forfeiture,"$2,040.00",11/15/2010,01/23/2012,,,"$2,040.00",01/23/2012
Stafford County Sheriff's Office,11/17/2010,11-FS33504,01,$953.00 U.S. CURRENCY,Forfeiture,$953.00,12/01/2010,01/23/2012,,,$953.00,01/23/2012
Stafford County Sheriff's Office,11/18/2010,11-FS33503,01,"$1,070.00 U.S. CURRENCY",Return To Owner,"$1,070.00",12/01/2010,10/12/2012,,,$0.00,10/12/2012
Stafford County Sheriff's Office,12/03/2010,11-FS34010,01,"$38,900.00 U.S. CURRENCY",Forfeiture,"$38,900.00",12/06/2010,01/26/2011,,,"$38,900.00",01/26/2011
Stafford County Sheriff's Office,01/20/2011,11-FS03515,01,"$2,215.00 U.S. CURRENCY",Forfeiture,"$2,215.00",02/04/2011,02/14/2011,,,"$2,215.00",02/14/2011
Stafford County Sheriff's Office,02/02/2011,11-FS03516,01,"$145,000.00 U.S. CURRENCY",Forfeiture,"$145,000.00",02/04/2011,06/03/2011,,,"$145,000.00",06/03/2011
Stafford County Sheriff's Office,02/23/2011,11-FS05601,01,"$1,351.00 U.S. CURRENCY",Forfeiture,"$1,351.00",02/25/2011,01/23/2012,,,"$1,351.00",01/23/2012
Stafford County Sheriff's Office,03/27/2011,11-FS14706,01,"$200,000.00 U.S. CURRENCY",Forfeiture,"$200,000.00",05/27/2011,10/20/2011,,,"$200,000.00",10/20/2011
Stafford County Sheriff's Office,05/04/2011,11-FS12904,01,"$1,376.00 U.S. CURRENCY",Forfeiture,"$1,376.00",05/09/2011,07/28/2011,,,"$1,376.00",07/28/2011
Stafford County Sheriff's Office,08/11/2011,12-FS23002,01,"$1,756.05 U.S. CURRENCY",Forfeiture,"$1,756.05",08/18/2011,09/11/2014,,,"$1,756.05",09/11/2014
Stafford County Sheriff's Office,08/24/2011,12-FS24110,01,"$4,800.00 U.S. CURRENCY",Forfeiture,"$4,800.00",08/29/2011,03/20/2012,,,"$4,800.00",03/20/2012
Stafford County Sheriff's Office,08/24/2011,12-FS24111,01,1997 VOLKSWAGEN,Pending,$500.00,08/29/2011,,,,$0.00,
Stafford County Sheriff's Office,08/24/2011,12-FS24111,02,$785.00 U.S. CURRENCY,Pending,$785.00,08/29/2011,,,,$0.00,
Stafford County Sheriff's Office,09/21/2011,12-FS26902,01,"$2,928.00 U.S. CURRENCY",Forfeiture,"$2,928.00",09/26/2011,03/16/2013,,,"$2,928.00",03/16/2013
Stafford County Sheriff's Office,09/22/2011,12-FS27202,01,$949.00 U.S. CURRENCY,Forfeiture,$949.00,09/29/2011,07/17/2012,,,$949.00,07/17/2012
Stafford County Sheriff's Office,09/28/2011,12-FS29501,01,$525.00 U.S. CURRENCY,Forfeiture,$525.00,10/22/2011,03/20/2012,,,$525.00,03/20/2012
Stafford County Sheriff's Office,09/29/2011,12-FS27709,01,"$4,331.91 U.S. CURRENCY",Forfeiture,"$4,331.91",10/03/2011,10/17/2012,,,"$4,331.91",10/17/2012
Stafford County Sheriff's Office,09/30/2011,12-FS28009,01,543.00 U.S. CURRENCY,Forfeiture,$543.00,10/07/2011,10/17/2012,,,$543.00,10/17/2012
Stafford County Sheriff's Office,10/17/2011,12-FS29502,01,2002 FORD EXPLORER,Pending,"$3,000.00",10/22/2011,11/07/2012,,,$0.00,11/07/2012
Stafford County Sheriff's Office,11/18/2011,12-FS33401,01,"$2,500.00 U.S. CURRENCY",Forfeiture,"$2,500.00",11/30/2011,10/17/2012,,,"$2,500.00",10/17/2012
Stafford County Sheriff's Office,11/18/2011,12-FS33402,01,$600.00 U.S. CURRENCY,Forfeiture,$600.00,11/30/2011,01/23/2013,,,$600.00,01/23/2013
Stafford County Sheriff's Office,01/10/2012,12-FS01712,01,"$4,890.00 U.S. CURRENCY",Forfeiture,"$4,890.00",01/17/2012,07/17/2012,,,"$4,890.00",07/17/2012
Stafford County Sheriff's Office,01/10/2012,12-FS02606,01,"$2,444.00 U.S. CURRENCY",Pending,$500.00,01/26/2012,,,,$0.00,
Stafford County Sheriff's Office,02/17/2012,12-FS06118,01,$825.00 U.S. CURRENCY,Forfeiture,$825.00,03/01/2012,07/17/2012,,,$825.00,07/17/2012
Stafford County Sheriff's Office,02/17/2012,12-FS06119,01,$888.00 U.S. CURRENCY,Pending,$888.00,03/01/2012,,,,$0.00,
