Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Cumberland County Sheriff's Office,11/14/2008,09-FS32902,01,2000 BUICK REGAL,Dismissal,"$2,000.00",11/24/2008,10/20/2014,,,$0.00,10/20/2014
Cumberland County Sheriff's Office,08/27/2009,10-FS11902,01,11 WEAPONS,Return To Owner,"$6,500.00",04/29/2010,01/26/2011,,,$0.00,01/26/2011
Cumberland County Sheriff's Office,08/27/2009,10-FS25216,01,2000 FORD F250,Return To Owner,"$10,000.00",09/09/2009,02/01/2010,,,$0.00,02/01/2010
Cumberland County Sheriff's Office,08/27/2009,10-FS25216,02,"$52,356.36 U.S. CURRENCY",Forfeiture,"$52,356.36",09/09/2009,02/01/2010,,,"$29,206.79",02/01/2010
Cumberland County Sheriff's Office,08/27/2009,10-FS25216,03,"$1,065.94 U.S. CURRENCY",Return To Owner,"$1,065.94",09/09/2009,11/20/2012,,,$0.00,11/20/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03204,01,1999 PONTIAC FIREBIRD,Pending,"$5,000.00",02/01/2010,05/30/2012,10/20/2014,,$0.00,10/20/2014
Cumberland County Sheriff's Office,01/21/2010,10-FS03205,01,1990 CHEVROLET PICKUP,Return To Owner,"$2,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03206,01,1998 DODGE PICKUP DUALLY,Return To Owner,"$3,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03207,01,1995 CHEVROLET CAMARO,Forfeiture,"$5,000.00",02/01/2010,05/30/2012,07/03/2012,,"$2,250.00",07/03/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03208,01,1992 CHEVROLET CAMARO,Return To Owner,"$2,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03209,01,1986 KENWORTH DUMP TRUCK,Return To Owner,"$8,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03210,01,1997 KAWASAKI VULCAN MOTORCYCLE,Forfeiture,"$1,000.00",02/01/2010,05/30/2012,07/03/2012,,"$1,170.00",07/03/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03211,01,2003 HARLEY DAVIDSON MOTORCYCLE,Return To Owner,"$10,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03212,01,1983 CHEROKEE LIVESTOCK TRAINER,Return To Owner,"$2,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
Cumberland County Sheriff's Office,01/21/2010,10-FS03213,01,2005 CARRY ON TRAILER,Return To Owner,"$2,000.00",02/01/2010,05/30/2012,,,$0.00,05/30/2012
