Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Harrisonburg Police Department,05/19/2008,08-FS14112,01,"$1,606.05 U.S. CURRENCY",Pending,"$1,606.05",05/20/2008,,,,$0.00,
Harrisonburg Police Department,06/26/2008,08-FS18202,01,"$1,654.11 U.S. CURRENCY",Pending,"$1,654.11",06/30/2008,,,,$0.00,
Harrisonburg Police Department,02/08/2009,09-FS05515,01,"$6,690.00 U.S. CURRENCY",Pending,"$6,690.00",02/24/2009,,,,$0.00,
Harrisonburg Police Department,03/03/2009,09-FS09003,01,"$2,000.00 U.S. CURRENCY",Pending,"$2,000.00",03/31/2009,,,,$0.00,
Harrisonburg Police Department,03/14/2009,09-FS09002,01,"$3,815.71 U.S. CURRENCY",Pending,"$3,815.71",03/31/2009,,,,$0.00,
Harrisonburg Police Department,05/15/2009,09-FS13801,01,1996 LEXUS ES300,Pending,"$3,000.00",05/18/2009,,,,$0.00,
Harrisonburg Police Department,06/26/2009,09-FS18001,01,"$1,156.00 U.S. CURRENCY",Pending,"$1,156.00",06/29/2009,,,,$0.00,
Harrisonburg Police Department,06/07/2010,10-FS15903,01,1994 FORD PICKUP,Pending,"$1,000.00",06/08/2010,,,,$0.00,
Harrisonburg Police Department,06/07/2010,10-FS15903,02,$580.00 U.S. CURRENCY,Pending,$580.00,06/08/2010,,,,$0.00,
Harrisonburg Police Department,06/07/2010,10-FS15904,01,$575.00 U.S. CURRENCY,Pending,$575.00,06/08/2010,,,,$0.00,
Harrisonburg Police Department,08/08/2010,11-FS24304,01,$603.00 U.S. CURRENCY,Pending,$603.00,08/31/2010,,,,$0.00,
Harrisonburg Police Department,03/04/2011,11-FS07607,01,"$1,748.00 U.S. CURRENCY",Pending,"$1,748.00",03/17/2011,,,,$0.00,
Harrisonburg Police Department,03/18/2011,11-FS08006,01,$610.00 U.S. CURRENCY,Forfeiture,$610.00,03/21/2011,04/05/2012,,,$610.64,04/05/2012
Harrisonburg Police Department,04/18/2011,11-FS11701,01,"$10,857.00 U.S. CURRENCY",Forfeiture,"$10,857.00",04/27/2011,04/05/2012,,,"$10,870.87",04/05/2012
Harrisonburg Police Department,06/20/2011,11-FS17805,01,"$38,103.00 U.S. CURRENCY",Forfeiture,"$38,103.00",06/27/2011,04/05/2012,,,"$38,135.85",04/05/2012
Harrisonburg Police Department,07/23/2011,12-FS26509,01,2011 JEEP GRAND CHEROKEE,Pending,"$3,000.00",09/22/2011,,,,$0.00,
Harrisonburg Police Department,09/27/2011,12-FS27103,01,"$3,320.00 U.S. CURRENCY",Forfeiture,"$3,320.00",09/28/2011,04/05/2012,,,"$3,321.54",04/05/2012
Harrisonburg Police Department,11/13/2011,12-FS32102,01,$501.00 U.S. CURRENCY,Forfeiture,$501.00,11/17/2011,09/16/2013,,,$0.00,09/16/2013
Harrisonburg Police Department,11/13/2011,12-FS32103,01,2003 Chevrolet Tahoe SUV,Pending,"$3,500.00",11/17/2011,09/16/2013,,,$0.00,09/16/2013
Harrisonburg Police Department,05/31/2012,12-FS15901,01,$667.00 US CURRENCY,Pending,$667.00,06/07/2012,,,,$0.00,
Harrisonburg Police Department,09/24/2012,13-FS26901,01,$636.00 US CURRENCY,Pending,$636.00,09/25/2012,,,,$0.00,
Harrisonburg Police Department,10/14/2012,13-FS31102,01,$650.00 US CURRENCY,Pending,$650.00,11/06/2012,,,,$0.00,
Harrisonburg Police Department,03/20/2013,13-FS08509,01,2001 HONDA  Accord-4 Cyl.,Pending,"$3,000.00",03/26/2013,,,,$0.00,
Harrisonburg Police Department,03/23/2013,13-FS08511,01,"$1,245.00 U.S. Currency",Pending,"$1,245.00",03/26/2013,,,,$0.00,
Harrisonburg Police Department,03/23/2013,13-FS08512,01,$551.00 U.S. Currency,Pending,$551.00,03/26/2013,,,,$0.00,
Harrisonburg Police Department,06/02/2013,13-FS16304,01,2006 BMW  3 Series,Pending,"$12,800.00",06/17/2013,,,,$0.00,
Harrisonburg Police Department,08/28/2013,14-FS24902,01,$800.00 U.S. Currency,Pending,$800.00,09/06/2013,,,,$0.00,
Harrisonburg Police Department,08/29/2013,14-FS24903,01,"$1,021.00 U.S. Currency",Pending,"$1,021.00",09/06/2013,,,,$0.00,
Harrisonburg Police Department,11/10/2013,14-FS31802,01,$583.00 U.S. Currency,Return To Owner,$583.00,11/14/2013,09/15/2014,,,$0.00,09/15/2014
Harrisonburg Police Department,11/23/2013,14-FS35307,01,2001 VOLVO  S60-5 Cyl.,Return To Owner,"$3,500.00",12/19/2013,09/15/2014,,,$0.00,09/15/2014
Harrisonburg Police Department,12/10/2013,14-FS35305,01,$988.00 U.S. Currency,Forfeiture,$988.00,12/19/2013,11/25/2014,,,$988.84,11/25/2014
Harrisonburg Police Department,12/12/2013,14-FS35306,01,1996 MITSUBISHI  Eclipse-4 Cyl.,Return To Owner,"$1,000.00",12/19/2013,11/25/2014,,,$0.00,11/25/2014
Harrisonburg Police Department,12/17/2013,14-FS35304,01,2000 CHEVROLET  Cavalier-L4,Pending,"$1,500.00",12/19/2013,,,,$0.00,
Harrisonburg Police Department,02/01/2014,14-FS03489,01,2003 AUDI  A6-V6,Pending,"$6,000.00",02/03/2014,11/25/2014,,,$0.00,11/25/2014
Harrisonburg Police Department,02/01/2014,14-FS03489,02,"$59,180.00 U.S. Currency",Forfeiture,"$59,180.00",02/03/2014,11/25/2014,,,"$59,223.49",11/25/2014
Harrisonburg Police Department,02/01/2014,14-FS03489,03,$550.00 U.S. Currency,Forfeiture,$550.00,02/03/2014,11/25/2014,,,$550.43,11/25/2014
