Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Manassas Park Police Department,07/01/2010,11-FS24303,01,2003 CHEVROLET IMPALA,Pending,"$5,000.00",08/31/2010,03/14/2011,,,$0.00,03/14/2011
Manassas Park Police Department,07/02/2010,11-FS24504,01,"$1,430.00 U.S. CURRENCY",Forfeiture,"$1,430.00",09/02/2010,03/14/2011,,,"$1,430.00",03/14/2011
Manassas Park Police Department,08/07/2010,11-FS24302,01,"$1,770.00 U.S. CURRENCY",Forfeiture,"$1,770.00",08/31/2010,03/14/2011,,,"$1,770.00",03/14/2011
Manassas Park Police Department,08/12/2010,11-FS24301,01,"$6,513.10 U.S. CURRENCY",Forfeiture,"$6,513.10",08/31/2010,07/16/2013,,,"$3,256.55",07/16/2013
Manassas Park Police Department,01/14/2011,11-FS04005,01,1999 VOLKSWAGEN BEETLE,Dismissal,"$2,500.00",02/09/2011,02/11/2013,,,$0.00,02/11/2013
Manassas Park Police Department,05/05/2011,11-FS13004,01,$823.00 U.S. CURRENCY,Forfeiture,$823.00,05/10/2011,03/27/2012,,,$823.00,03/27/2012
Manassas Park Police Department,07/12/2011,12-FS27201,01,2007 CHEVROLET MONTE CARLO,Dismissal,"$7,000.00",07/29/2011,02/11/2013,,,$0.00,02/11/2013
Manassas Park Police Department,08/14/2012,13-FS24805,01,"$1,705.00 US CURRENCY",Dismissal,"$1,705.00",09/04/2012,02/11/2013,,,$0.00,02/11/2013
Manassas Park Police Department,10/19/2012,13-FS31801,01,2004 JEEP GRAND CHEROKEE,Pending,"$7,000.00",11/13/2012,09/24/2013,,,,09/24/2013
Manassas Park Police Department,10/19/2012,13-FS31801,02,"$3,519.00 US CURRENCY",Return To Owner,"$3,519.00",11/13/2012,10/28/2013,,,$0.00,10/28/2013
Manassas Park Police Department,10/19/2012,13-FS31801,03,"$1,737.00 us currency",Forfeiture,"$1,737.00",11/13/2012,07/30/2013,,,"$1,737.00",07/30/2013
Manassas Park Police Department,01/24/2013,13-FS08514,01,2007 HONDA  Ridgeline-V6,,"$13,600.00",03/28/2013,,,,$0.00,
Manassas Park Police Department,01/26/2013,13-FS04509,01,$736.00 U.S. Currency,Return To Owner,$736.00,02/14/2013,10/28/2013,,,$0.00,10/28/2013
Manassas Park Police Department,06/21/2013,14-FS18403,01,$632.38 U.S. Currency,Return To Owner,$632.38,07/03/2013,10/10/2014,,,$0.00,10/10/2014
Manassas Park Police Department,03/12/2014,14-FS08430,01,"$1,772.00 U.S. Currency",Forfeiture,"$1,772.00",03/25/2014,11/04/2014,,,"$1,772.00",11/04/2014
Manassas Park Police Department,05/27/2014,15-FS23282,01,"$1,750.00 U.S. Currency",Pending,"$1,750.00",08/20/2014,,,,$0.00,
Manassas Park Police Department,05/27/2014,15-FS23282,02,$763.05 U.S. Currency,Pending,$763.05,08/20/2014,,,,$0.00,
Manassas Park Police Department,07/20/2014,15-FS21034,01,$939.00 U.S. Currency,Pending,$939.00,07/29/2014,,,,$0.00,
Manassas Park Police Department,11/14/2014,15-FS36046,01,"$2,868.67 U.S. Currency",Pending,"$2,868.67",12/26/2014,,,,$0.00,
Manassas Park Police Department,12/20/2014,15-FS02865,01,2009 JAGUAR  XF,Pending,"$18,700.00",01/28/2015,,,,$0.00,
Manassas Park Police Department,12/20/2014,15-FS02865,02,2012 NISSAN  Sentra-4 Cyl.,Pending,"$8,725.00",01/28/2015,,,,$0.00,
Manassas Park Police Department,12/20/2014,15-FS02865,03,"$5,753.00 U.S. Currency",Pending,"$5,753.00",01/28/2015,,,,$0.00,
