Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
King George County Sheriff's Office,02/27/2009,09-FS07101,01,"$1,569.00 U.S. CURRENCY",Pending,"$1,569.00",03/12/2009,,,,$0.00,
King George County Sheriff's Office,07/17/2009,10-FS20301,01,1.28 ACRES OF LAND,Return To Owner,"$7,000.00",07/20/2009,11/19/2014,,,$0.00,11/19/2014
King George County Sheriff's Office,03/22/2010,10-FS08901,01,1988 CHRYSLER,Forfeiture,"$1,000.00",03/30/2010,01/21/2011,02/14/2011,,$0.00,02/14/2011
King George County Sheriff's Office,09/17/2010,11-FS00403,01,"$1,030.46 U.S. CURRENCY",Forfeiture,"$1,030.46",01/04/2011,08/16/2011,,,"$1,030.46",08/16/2011
King George County Sheriff's Office,09/17/2010,11-FS27116,01,"$10,190.00 U.S. CURRENCY",Forfeiture,"$10,190.00",09/28/2010,04/19/2011,,,"$10,190.00",04/19/2011
King George County Sheriff's Office,04/25/2011,11-FS11903,01,1997FORD CROWN VIC,Forfeiture,$500.00,04/29/2011,11/26/2012,,,$0.00,11/26/2012
King George County Sheriff's Office,06/17/2011,11-FS17403,01,"$3,790.00 U.S. CURRENCY",Forfeiture,"$3,790.00",06/23/2011,09/12/2012,,,"$3,790.00",09/12/2012
King George County Sheriff's Office,12/13/2012,13-FS02530,01,1998 LINCOLN,Forfeiture,"$2,000.00",01/25/2013,03/25/2014,,,"$1,425.00",03/25/2014
King George County Sheriff's Office,01/28/2013,13-FS04310,01,2005 CHRYSLER  Sebring-V6,Pending,"$5,000.00",02/12/2013,,,,$0.00,
King George County Sheriff's Office,11/15/2013,14-FS33903,01,2007 LINCOLN  MKZ-V6,Pending,"$5,000.00",12/09/2013,,,,$0.00,
King George County Sheriff's Office,11/15/2013,14-FS33903,02,$745.00 U.S. Currency,Pending,$745.00,12/09/2013,,,,$0.00,
King George County Sheriff's Office,01/10/2014,14-FS02836,01,1999 CHEVROLET TRUCK  Suburban-V8,,"$3,000.00",02/10/2014,,,,$0.00,
King George County Sheriff's Office,01/16/2014,14-FS03175,01,$515.00 U.S. Currency,Pending,$515.00,02/04/2014,,,,$0.00,
King George County Sheriff's Office,04/29/2014,14-FS13568,01,"$3,600.00 U.S. Currency",Pending,"$3,600.00",05/15/2014,,,,$0.00,
