Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Rocky Mount Police Department,10/30/2009,10-FS33801,01,1996 HONDA ACCORD,Return To Owner,"$2,000.00",12/04/2009,01/21/2011,,,$0.00,01/21/2011
Rocky Mount Police Department,12/26/2010,11-FS01801,01,"$3,149.00 U.S. CURRENCY",Dismissal,"$3,149.00",01/18/2011,10/31/2012,,,$0.00,10/31/2012
Rocky Mount Police Department,06/22/2011,12-FS19208,01,1992 SUBARU LEGACY,Pending,"$1,500.00",07/11/2011,,,,$0.00,
Rocky Mount Police Department,07/02/2011,12-FS19209,01,$901.00 U.S. CURRENCY,Forfeiture,$901.00,07/11/2011,02/27/2013,,,$901.00,02/27/2013
Rocky Mount Police Department,08/15/2011,12-FS22803,01,"$1,515.00 U.S. CURRENCY",Forfeiture,"$1,515.00",08/16/2011,02/17/2012,,,"$1,515.00",02/17/2012
Rocky Mount Police Department,03/28/2012,12-FS10001,01,1997 FORD EXPLORER,Pending,"$2,000.00",04/09/2012,04/09/2012,,,$0.00,04/09/2012
Rocky Mount Police Department,09/20/2012,13-FS27809,01,$599.00 US CURRENCY,Forfeiture,$599.00,10/04/2012,08/26/2013,,,$599.00,08/26/2013
Rocky Mount Police Department,07/26/2013,14-FS23902,01,$650.00 U.S. Currency,Pending,$650.00,08/27/2013,,,,$0.00,
Rocky Mount Police Department,03/01/2014,14-FS08014,01,$626.00 U.S. Currency,Pending,$626.00,03/21/2014,,,,$0.00,
Rocky Mount Police Department,03/01/2014,14-FS08014,02,1998 DODGE TRUCK  Durango-V8,Pending,"$1,550.00",03/21/2014,,,,$0.00,
