Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Galax Police Department,02/21/2008,08-FS05903,01,1971 GMC PICKUP,Pending,"$1,500.00",02/28/2008,,,,$0.00,
Galax Police Department,02/21/2008,08-FS05903,02,1992 AUDI,Return To Owner,"$3,000.00",02/28/2008,02/12/2009,,,$0.00,02/12/2009
Galax Police Department,02/21/2008,08-FS05903,03,2006 FORD PICKUP,Dismissal,"$30,000.00",02/28/2008,02/12/2009,,,$0.00,02/12/2009
Galax Police Department,02/21/2008,08-FS05903,04,M&M TRAILER CHIPPER,Pending,$500.00,02/28/2008,,,,$0.00,
Galax Police Department,02/21/2008,08-FS05903,05,1997 FORD VAN,Return To Owner,"$2,500.00",02/28/2008,02/12/2009,,,$0.00,02/12/2009
Galax Police Department,02/21/2008,08-FS05903,06,1978 GMC TRUCK,Return To Owner,"$1,500.00",02/28/2008,02/12/2009,,,$0.00,02/12/2009
Galax Police Department,03/05/2008,08-FS06601,01,$606.26 U.S. CURRENCY,Pending,$606.26,03/06/2008,,,,$0.00,
Galax Police Department,09/21/2009,10-FS13701,01,2003 FORD EXPEDITION,Pending,"$3,500.00",05/17/2010,,,,$0.00,
Galax Police Department,09/21/2009,10-FS13701,02,"$3,047.00 U.S. CURRENCY",Pending,"$3,047.00",05/17/2010,,,,$0.00,
Galax Police Department,09/21/2009,10-FS13701,03,2002 FORD TAURUS,Pending,"$1,500.00",05/17/2010,,,,$0.00,
Galax Police Department,04/08/2010,10-FS11608,01,"$3,271.00 U.S. CURRENCY",Pending,"$3,270.00",04/26/2010,,,,$0.00,
Galax Police Department,04/08/2010,10-FS11608,02,JOHN DEERE LAWN TRACTOR,Pending,$500.00,04/26/2010,,,,$0.00,
Galax Police Department,04/08/2010,10-FS11608,03,POLARIS SPORTSMAN ATV,Pending,$500.00,04/26/2010,,,,$0.00,
Galax Police Department,06/23/2010,10-FS17502,01,1997 NISSAN PICKUP,Pending,"$1,500.00",06/24/2010,,,,$0.00,
Galax Police Department,07/21/2010,11-FS30707,01,2010 CARRY ON UTILITY TRAILER,Pending,$500.00,11/03/2010,,,,$0.00,
Galax Police Department,07/21/2010,11-FS30707,02,"$2,489.90 U.S. CURRENCY",Pending,"$2,489.90",11/03/2010,,,,$0.00,
Galax Police Department,07/28/2010,11-FS21109,01,1995 FORD PICKUP,Pending,"$1,500.00",07/30/2010,,,,$0.00,
Galax Police Department,07/28/2010,11-FS21109,02,1997 PONTIAC,Pending,"$1,000.00",07/30/2010,,,,$0.00,
Galax Police Department,10/21/2010,11-FS30203,01,2000 MITSUBISHI,Forfeiture,"$2,000.00",10/29/2010,05/02/2012,,,$600.00,05/02/2012
Galax Police Department,11/24/2010,11-FS34806,01,2001 DODGE PICKUP,Forfeiture,"$1,500.00",12/14/2010,05/02/2012,,,"$1,850.00",05/02/2012
Galax Police Department,11/24/2010,11-FS34806,02,$567.18 U.S. CURRENCY,Forfeiture,$567.18,12/14/2010,05/02/2012,,,$567.18,05/02/2012
Galax Police Department,11/24/2010,11-FS34806,03,YAMAHA ATV,Forfeiture,$500.00,12/14/2010,05/02/2012,,,$0.00,05/02/2012
Galax Police Department,02/18/2011,11-FS05206,01,"$18,076.00 U.S. CURRENCY",Forfeiture,"$18,076.00",02/21/2011,10/10/2012,,,"$12,000.00",10/10/2012
Galax Police Department,08/03/2011,12-FS21605,01,1996 NISSAN PICKUP,Pending,"$1,500.00",08/04/2011,,,,$0.00,
Galax Police Department,08/09/2012,13-FS22815,01,"$5,900.00 U.S. CURRENCY",Pending,"$5,900.00",08/15/2012,,,,$0.00,
Galax Police Department,10/21/2012,12-FS06517,01,1998 FORD F-150 PICKUP,Forfeiture,"$2,500.00",03/05/2012,05/02/2012,,,"$2,900.00",05/02/2012
Galax Police Department,10/21/2012,12-FS06517,02,1998 PONTIAC SUNBIRD,Forfeiture,"$1,000.00",03/05/2012,05/02/2012,,,"$1,075.00",05/02/2012
Galax Police Department,10/21/2012,12-FS06517,03,$759.00 US CURRENCY,Forfeiture,$759.00,03/05/2012,05/02/2012,,,$759.00,05/02/2012
