Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Amherst Police Department,09/07/2009,10-FS25904,01,1999 PONTIAC GRAND PRIX SE,Forfeiture,"$2,275.00",09/16/2009,01/25/2010,12/10/2010,,$0.00,12/10/2010
Amherst Police Department,09/07/2009,10-FS25904,02,"$1,011.05 U.S. CURRENCY",Forfeiture,"$1,011.05",09/16/2009,01/25/2010,,,"$1,011.05",01/25/2010
Amherst Police Department,12/09/2009,10-FS01101,01,2002 CHEVROLET CAVALIER,Forfeiture,"$2,200.00",01/11/2010,03/17/2010,12/10/2010,,"$1,741.58",12/10/2010
Amherst Police Department,05/09/2010,10-FS13410,01,$500.00 U.S. CURRENCY,Return To Owner,$500.00,05/14/2010,11/20/2012,,,$0.00,11/20/2012
Amherst Police Department,06/26/2010,11-FS18703,01,2002 FORD F250,Forfeiture,"$13,000.00",07/06/2010,07/18/2011,08/19/2011,,"$3,910.00",08/19/2011
Amherst Police Department,05/07/2012,12-FS13702,01,2004 OLDSMOBILE 4D SDN,Pending,"$3,400.00",05/16/2012,,,,$0.00,
