Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Fauquier County Sheriff's Office,05/18/2010,10-FS14701,01,"$1,500.00 U.S. CURRENCY",Return To Owner,"$1,500.00",05/27/2010,09/20/2010,,,$0.00,09/20/2010
Fauquier County Sheriff's Office,06/07/2010,10-FS16507,01,2000 CADILLAC DEVILLE,Pending,"$5,500.00",06/14/2010,,,,$0.00,
Fauquier County Sheriff's Office,06/21/2011,11-FS17404,01,$980.00 U.S. CURRENCY,Forfeiture,$980.00,06/23/2011,09/10/2012,,,$980.00,09/10/2012
Fauquier County Sheriff's Office,06/24/2011,11-FS17806,01,"$1,274.00 U.S. CURRENCY",Forfeiture,"$1,274.00",06/27/2011,09/10/2012,,,"$1,274.00",09/10/2012
Fauquier County Sheriff's Office,09/04/2011,13-FS07012,01,"$1,110.00 U.S. Currency",Forfeiture,"$1,110.00",03/11/2013,03/01/2013,,,"$1,110.00",03/01/2013
Fauquier County Sheriff's Office,12/06/2011,12-FS34203,01,2002 Ford Taurus,Pending,"$5,000.00",12/08/2011,09/04/2012,,,$0.00,09/04/2012
Fauquier County Sheriff's Office,12/20/2011,12-FS36201,01,2000 Chevrolet Silverado,Pending,"$5,000.00",12/28/2011,,,,$0.00,
Fauquier County Sheriff's Office,01/25/2012,12-FS03204,01,"$1,233.00 U.S. CURRENCY",Forfeiture,"$1,233.00",02/01/2012,11/20/2012,,,"$1,233.00",11/20/2012
Fauquier County Sheriff's Office,02/28/2012,12-FS06901,01,"$1,872.00 U.S. CURRENCY",Forfeiture,"$1,872.00",03/09/2012,09/20/2012,,,"$1,872.00",09/20/2012
Fauquier County Sheriff's Office,05/18/2012,13-FS24401,01,"$14,890.00 US CURRENCY",Forfeiture,"$14,890.00",08/31/2012,09/20/2012,,,"$14,890.00",09/20/2012
