Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Colonial Heights Police Department,02/25/2008,08-FS06404,01,1999 CHEVROLET TAHOE,Pending,"$4,000.00",03/04/2008,12/10/2008,,,$0.00,12/10/2008
Colonial Heights Police Department,02/25/2008,08-FS06404,02,"$3,575.00 U.S. CURRENCY",Forfeiture,"$3,575.00",03/04/2008,12/10/2008,,,"$3,575.00",12/10/2008
Colonial Heights Police Department,05/21/2008,09-FS34507,01,1996 DODGE STRATUS,Forfeiture,"$1,500.00",12/10/2008,04/09/2009,11/10/2014,,$0.00,11/10/2014
Colonial Heights Police Department,12/29/2008,09-FS00506,01,1986 CHEVROLET MONTE CARLO,Return To Owner,"$2,000.00",01/05/2009,11/10/2014,,,$0.00,11/10/2014
Colonial Heights Police Department,02/09/2009,10-FS13007,01,"32"" SONY BRAVIA LCD TELEVISION",Forfeiture,$500.00,05/10/2010,11/10/2014,,,$0.00,11/10/2014
Colonial Heights Police Department,02/09/2009,10-FS13007,02,"19"" MAGNAVOX HD TELEVISION",Forfeiture,$500.00,05/10/2010,11/10/2014,,,$0.00,11/10/2014
Colonial Heights Police Department,02/09/2009,10-FS13007,03,MAGNAVOX DVD/VCR,Forfeiture,$500.00,05/10/2010,11/10/2014,,,$0.00,11/10/2014
Colonial Heights Police Department,04/06/2009,09-FS16208,01,2003 CHEVROLET SUBURBAN,Pending,"$10,000.00",06/11/2009,02/17/2010,,,$0.00,02/17/2010
Colonial Heights Police Department,04/06/2009,09-FS16208,02,"$1,612.00 U.S. CURRENCY",Forfeiture,"$1,612.00",06/11/2009,02/17/2010,,,"$1,507.00",02/17/2010
Colonial Heights Police Department,04/21/2009,09-FS11404,01,1999 DODGE CARAVAN,Pending,"$2,000.00",04/24/2009,02/17/2010,,,$0.00,02/17/2010
Colonial Heights Police Department,06/02/2009,09-FS15401,01,1998 CADILLAC DEVILLE,Forfeiture,"$2,000.00",06/03/2009,01/25/2011,11/10/2014,,$0.00,11/10/2014
Colonial Heights Police Department,06/02/2009,09-FS15401,02,$466.00 U.S. CURRENCY,Forfeiture,$466.00,06/03/2009,01/25/2011,,,$0.00,01/25/2011
Colonial Heights Police Department,06/05/2009,10-FS28707,01,"$1,061.00 U.S. CURRENCY",Forfeiture,"$1,061.00",10/14/2009,02/17/2010,,,"$1,061.00",02/17/2010
Colonial Heights Police Department,07/05/2009,10-FS18807,01,"$1,695.00 U.S. CURRENCY",Forfeiture,"$1,695.00",07/07/2009,02/17/2010,,,"$1,695.00",02/17/2010
Colonial Heights Police Department,07/15/2009,10-FS31616,01,2000 CHEVROLET S-10,Pending,"$2,000.00",11/12/2009,02/17/2010,,,$0.00,02/17/2010
Colonial Heights Police Department,07/28/2009,10-FS21101,01,"$2,610.00 U.S. CURRENCY",Dismissal,"$2,610.00",07/30/2009,05/13/2010,,,$0.00,05/13/2010
Colonial Heights Police Department,09/09/2009,10-FS25405,01,2002 CHEVROLET S-10 PICKUP,Return To Owner,"$3,000.00",09/11/2009,02/17/2010,,,$0.00,02/17/2010
Colonial Heights Police Department,10/15/2009,10-FS28801,01,"$1,434.00 U.S. CURRENCY",Forfeiture,"$1,434.00",10/15/2009,02/23/2010,,,"$1,434.00",02/23/2010
Colonial Heights Police Department,10/23/2009,10-FS31617,01,2008 CHEVROLET SUBURBAN,Release To Lien Holder,"$36,000.00",11/12/2009,02/17/2010,,,$0.00,02/17/2010
Colonial Heights Police Department,10/23/2009,10-FS31618,01,"$4,637.00 U.S. CURRENCY",Forfeiture,"$4,637.00",11/12/2009,05/24/2010,,,"$4,637.00",05/24/2010
Colonial Heights Police Department,10/23/2009,10-FS31618,02,"43"" SANYO TELEVISION",Forfeiture,$500.00,11/12/2009,05/24/2010,,,$0.00,01/17/2012
Colonial Heights Police Department,10/23/2009,10-FS31618,03,"50"" SAMSUNG TELEVISION",Return To Owner,$500.00,11/12/2009,05/24/2010,,,$0.00,05/24/2010
Colonial Heights Police Department,10/23/2009,10-FS31618,04,BREITLING WATCH,Return To Owner,$500.00,11/12/2009,05/24/2010,,,$0.00,05/24/2010
Colonial Heights Police Department,10/23/2009,10-FS31618,05,JOE RODEO WATCH,Forfeiture,$500.00,11/12/2009,05/24/2010,,,$0.00,01/17/2012
Colonial Heights Police Department,10/23/2009,10-FS31618,06,DIAMOND RING,Forfeiture,$500.00,11/12/2009,05/24/2010,,,$0.00,01/17/2012
Colonial Heights Police Department,11/21/2009,10-FS34405,01,"$1,575.00 U.S. CURRENCY",Forfeiture,"$1,575.00",12/10/2009,05/24/2010,,,"$1,575.00",05/24/2010
Colonial Heights Police Department,01/01/2010,10-FS01204,01,"$2,881.00 U.S. CURRENCY",Forfeiture,"$2,881.00",01/12/2010,09/07/2010,,,"$2,881.00",09/07/2010
Colonial Heights Police Department,02/14/2010,10-FS05403,01,"$1,785.00 U.S. CURRENCY",Forfeiture,"$1,785.00",02/23/2010,01/26/2011,,,"$1,785.00",01/26/2011
Colonial Heights Police Department,03/23/2010,10-FS10308,01,$562.72 U.S. CURRENCY,Forfeiture,$562.72,04/13/2010,10/14/2010,,,$562.72,10/14/2010
Colonial Heights Police Department,07/08/2010,11-FS20402,01,"60"" MITSUBISHI TV",Return To Owner,$750.00,07/23/2010,01/02/2013,,,$0.00,01/02/2013
Colonial Heights Police Department,07/08/2010,11-FS20402,02,"42"" VIZIO TV",Pending,$500.00,07/23/2010,,,,$0.00,
Colonial Heights Police Department,07/23/2010,11-FS20803,01,$892.00 U.S. CURRENCY,Forfeiture,$892.00,07/27/2010,01/26/2011,,,$892.00,01/26/2011
Colonial Heights Police Department,08/31/2010,11-FS24415,01,1993 JEEP CHEROKEE,Pending,"$2,000.00",09/01/2010,01/25/2011,,,$0.00,01/25/2011
Colonial Heights Police Department,09/10/2010,11-FS25705,01,1997 FORD ESCORT,Forfeiture,"$1,000.00",09/14/2010,03/13/2013,,,$0.00,03/13/2013
Colonial Heights Police Department,10/14/2010,11-FS29902,01,1998 NISSAN MAXIMA,Release To Lien Holder,"$2,000.00",10/26/2010,01/02/2013,,,$0.00,01/02/2013
Colonial Heights Police Department,10/14/2010,11-FS29902,02,"$6,697.00 U.S. CURRENCY",Forfeiture,"$6,697.00",10/26/2010,03/05/2012,,,"$4,733.00",03/05/2012
Colonial Heights Police Department,11/09/2010,11-FS17406,01,2000 DODGE CARAVAN,Pending,"$2,000.00",06/23/2011,07/28/2011,,,$0.00,07/28/2011
Colonial Heights Police Department,12/10/2010,11-FS02604,01,"$1,000.00 U.S. CURRENCY",Forfeiture,"$1,000.00",01/26/2011,09/02/2011,,,"$1,000.00",09/02/2011
Colonial Heights Police Department,12/13/2010,11-FS35010,01,"$1,704.80 U.S. CURRENCY",Forfeiture,"$1,704.80",12/16/2010,09/02/2011,,,"$1,704.80",09/02/2011
Colonial Heights Police Department,01/07/2011,11-FS02605,01,"$1,485.00 U.S. CURRENCY",Forfeiture,"$1,485.00",01/26/2011,09/02/2011,,,"$1,485.00",09/02/2011
Colonial Heights Police Department,01/07/2011,11-FS02606,01,$567.00 U.S. CURRENCY,Forfeiture,$567.00,01/26/2011,03/05/2012,,,$567.00,03/05/2012
Colonial Heights Police Department,01/07/2011,11-FS02803,01,2005 LINCOLN LS,Pending,"$14,000.00",01/28/2011,,,,$0.00,
Colonial Heights Police Department,02/16/2011,11-FS05511,01,"$7,800.00 U.S. CURRENCY",Forfeiture,"$7,800.00",02/24/2011,01/10/2012,,,"$7,800.00",01/10/2012
Colonial Heights Police Department,02/16/2011,11-FS05512,01,"$1,620.00 U.S. CURRENCY",Forfeiture,"$1,620.00",02/24/2011,01/10/2012,,,"$1,370.00",01/10/2012
Colonial Heights Police Department,03/03/2011,11-FS08703,01,$609.00 U.S. CURRENCY,Forfeiture,$609.00,03/28/2011,01/10/2012,,,$609.00,01/10/2012
Colonial Heights Police Department,03/11/2011,11-FS08702,01,$582.00 U.S. CURRENCY,Dismissal,$582.00,03/28/2011,03/05/2012,,,$0.00,03/05/2012
