Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Franklin Police Department,05/27/2008,08-FS16303,01,1996 CHEVROLET TAHOE,Pending,"$4,000.00",06/11/2008,07/29/2010,,,$0.00,07/29/2010
Franklin Police Department,05/27/2008,08-FS16303,02,"$1,050.00 U.S. CURRENCY",Forfeiture,"$1,050.00",06/11/2008,08/09/2010,,,"$1,014.00",08/09/2010
Franklin Police Department,06/30/2009,10-FS23904,01,"$1,102.00 U.S. CURRENCY",Forfeiture,"$1,102.00",08/27/2009,06/28/2011,,,"$1,102.00",06/28/2011
Franklin Police Department,10/29/2009,10-FS34101,01,$924.00 U.S. CURRENCY,Forfeiture,$924.00,12/07/2009,06/22/2010,,,$924.00,06/22/2010
Franklin Police Department,01/22/2010,10-FS03510,01,$607.00 U.S. CURRENCY,Forfeiture,$607.00,02/04/2010,06/22/2010,,,$607.00,06/22/2010
Franklin Police Department,02/25/2010,10-FS06903,01,2004 CADILLAC SUV,Pending,"$15,000.00",03/10/2010,05/27/2010,,,$0.00,05/27/2010
Franklin Police Department,09/20/2010,11-FS28802,01,$675.00 U.S. CURRENCY,Pending,$675.00,10/15/2010,,,,$0.00,
Franklin Police Department,01/26/2011,11-FS05304,01,REAL PROPERTY AT 510 BRUCE STREET,Pending,$500.00,02/22/2011,,,,$0.00,
Franklin Police Department,02/01/2011,11-FS05306,01,$585.00 U.S. CURRENCY,Forfeiture,$585.00,02/22/2011,06/28/2011,,,$585.00,06/28/2011
Franklin Police Department,02/01/2011,11-FS05306,02,P95 RUGER,Pending,$500.00,02/22/2011,06/28/2011,,,$0.00,06/28/2011
Franklin Police Department,02/07/2011,11-FS05305,01,1996 FORD THUNDERBIRD,Pending,"$2,450.00",02/22/2011,,,,$0.00,
Franklin Police Department,10/18/2011,12-FS30705,01,"$2,444.00 U.S. CURRENCY",Pending,"$2,444.00",11/03/2011,,,,$0.00,
Franklin Police Department,10/18/2011,12-FS30705,02,iPad,Pending,$500.00,11/03/2011,,,,$0.00,
Franklin Police Department,11/08/2011,12-FS32505,01,"$3,376.00 U.S. CURRENCY",Pending,"$3,376.00",11/21/2011,,,,$0.00,
Franklin Police Department,11/10/2011,12-FS33404,01,$500.00 U.S. CURRENCY,Pending,$500.00,11/30/2011,,,,$0.00,
Franklin Police Department,11/18/2011,12-FS33405,01,"$2,205.73 U.S. CURRENCY",Pending,"$2,205.73",11/30/2011,,,,$0.00,
Franklin Police Department,05/22/2012,12-FS16701,01,$532.35 U.S. CURRENCY,Forfeiture,$532.35,06/15/2012,01/23/2013,,,$532.35,01/23/2013
Franklin Police Department,06/29/2012,13-FS19811,01,2000 MAZDA MILLENIA,Pending,"$1,700.00",07/16/2012,09/13/2013,,,$0.00,09/13/2013
Franklin Police Department,06/29/2012,13-FS19811,02,"$1,704.00 US CURRENCY",Forfeiture,"$1,704.00",07/16/2012,09/13/2013,,,"$1,704.00",09/13/2013
Franklin Police Department,09/01/2012,13-FS02510,01,"$1,014.00 U.S. Currency",Forfeiture,"$1,014.00",01/02/2014,06/23/2014,,,"$1,014.00",06/23/2014
Franklin Police Department,12/09/2012,13-FS01108,01,"$1,194.00 U.S. Currency",Forfeiture,"$1,194.00",01/02/2014,01/10/2014,,,"$1,194.00",01/10/2014
Franklin Police Department,05/11/2013,13-FS16901,01,$526.00 U.S. Currency,Forfeiture,$526.00,06/18/2013,04/15/2014,,,$526.00,04/15/2014
Franklin Police Department,01/21/2014,14-FS03597,01,"$4,991.59 U.S. Currency",Pending,"$4,991.59",02/04/2014,,,,$0.00,
