Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Scott County Sheriff's Office,11/21/2008,09-FS35001,01,$535.00 U.S. CURRENCY,Pending,$535.00,12/15/2008,,,,$0.00,
Scott County Sheriff's Office,04/20/2009,09-FS13511,01,1999 JEEP LBO,Pending,"$2,000.00",05/15/2009,,,,$0.00,
Scott County Sheriff's Office,08/10/2009,10-FS24002,01,1990 DODGE TRUCK,Forfeiture,$400.00,08/28/2009,01/29/2010,01/31/2011,,$0.00,01/31/2011
Scott County Sheriff's Office,08/10/2009,10-FS24002,02,$773.00 U.S. CURRENCY,Forfeiture,$773.00,08/28/2009,01/29/2010,,,$773.00,01/29/2010
Scott County Sheriff's Office,08/19/2009,14-FS16383,01,$805.00 U.S. Currency,Pending,$805.00,06/12/2014,,,,$0.00,
Scott County Sheriff's Office,08/20/2009,10-FS24003,01,1976 CHEVROLET TRUCK,Return To Owner,$500.00,08/28/2009,06/03/2014,,,$0.00,06/03/2014
Scott County Sheriff's Office,08/20/2009,10-FS24003,02,$805.00 U.S. CURRENCY,Forfeiture,$805.00,08/28/2009,06/03/2014,,,$805.00,06/03/2014
Scott County Sheriff's Office,08/20/2009,10-FS24004,01,1999 CHEVROLET,Forfeiture,"$2,000.00",08/28/2009,01/31/2011,,,$0.00,01/31/2011
Scott County Sheriff's Office,09/19/2009,10-FS27111,01,1995 SATURN,Forfeiture,$500.00,09/28/2009,01/31/2011,,,$0.00,01/31/2011
Scott County Sheriff's Office,10/09/2009,10-FS29501,01,"$2,006.00 U.S. CURRENCY",Forfeiture,"$2,006.00",10/22/2009,01/31/2011,,,"$2,006.00",01/31/2011
Scott County Sheriff's Office,01/08/2010,10-FS01909,01,"$1,097.00 U.S. CURRENCY",Pending,"$1,097.00",01/19/2010,,,,$0.00,
Scott County Sheriff's Office,01/20/2010,10-FS03227,01,1998 CHEVROLET 2G1,Return To Owner,"$1,000.00",02/01/2010,01/31/2011,,,$0.00,01/31/2011
Scott County Sheriff's Office,01/20/2010,10-FS03227,02,"$1,120.00 U.S. CURRENCY",Forfeiture,"$1,120.00",02/01/2010,01/31/2011,,,$560.00,01/31/2011
Scott County Sheriff's Office,01/21/2010,10-FS03228,01,1993 OLDSMOBILE 4 DOOR,Forfeiture,"$1,000.00",02/01/2010,01/10/2012,,,$600.00,01/10/2012
Scott County Sheriff's Office,01/21/2010,10-FS03229,01,1997 MERCEDES BENZ E32,Forfeiture,"$1,000.00",02/01/2010,01/18/2012,,,"$3,700.00",01/18/2012
Scott County Sheriff's Office,03/02/2010,10-FS07512,01,1994 CHEVROLET SUV,Pending,$500.00,03/16/2010,,,,$0.00,
Scott County Sheriff's Office,03/02/2010,10-FS07512,02,1979 FORD SUV,Pending,$500.00,03/16/2010,,,,$0.00,
Scott County Sheriff's Office,04/20/2010,10-FS11702,01,2007 MITSUBISHI EGS,Return To Owner,"$5,000.00",04/27/2010,02/07/2011,,,$0.00,02/07/2011
Scott County Sheriff's Office,04/20/2010,10-FS11702,02,$907.00 U.S. CURRENCY,Forfeiture,$907.00,04/27/2010,02/07/2011,,,$907.00,02/07/2011
Scott County Sheriff's Office,06/30/2010,11-FS20702,01,1988 HONDA,Pending,$400.00,07/26/2010,,,,$0.00,
Scott County Sheriff's Office,07/27/2010,11-FS22204,01,2001 MAZDA,Pending,$400.00,08/10/2010,08/15/2012,,,$0.00,08/15/2012
Scott County Sheriff's Office,07/27/2010,11-FS22204,02,$546.00 U.S. CURRENCY,Forfeiture,$546.00,08/10/2010,08/15/2012,,,$546.00,08/15/2012
Scott County Sheriff's Office,07/30/2010,11-FS22201,01,"$1,280.00 U.S. CURRENCY",Pending,"$1,280.00",08/10/2010,,,,$0.00,
Scott County Sheriff's Office,11/14/2011,14-FS16382,01,2001 MAZDA  626,Pending,"$2,300.00",06/12/2014,06/03/2014,,,$0.00,06/03/2014
Scott County Sheriff's Office,11/14/2011,14-FS16382,02,$546.00 U.S. Currency,Forfeiture,$546.00,06/12/2014,06/03/2014,,,$546.00,06/03/2014
Scott County Sheriff's Office,09/06/2012,13-FS26904,01,2004 NISSAN SUV,Pending,"$2,000.00",09/25/2012,,,,$0.00,
Scott County Sheriff's Office,09/06/2012,14-FS16381,01,$580.00 U.S. Currency,Pending,$580.00,10/23/2014,,,,$0.00,
Scott County Sheriff's Office,09/16/2012,14-FS16144,01,$580.00 U.S. Currency,Forfeiture,$580.00,06/12/2014,06/03/2014,,,$580.00,06/03/2014
Scott County Sheriff's Office,09/16/2012,14-FS16144,02,2004 NISSAN  Xterra-V6,Pending,"$6,575.00",06/12/2014,06/03/2014,,,$0.00,06/03/2014
Scott County Sheriff's Office,03/01/2013,13-FS08408,01,1997 HONDA  Civic-4 Cyl.,Pending,"$2,000.00",03/25/2013,,,,$0.00,
Scott County Sheriff's Office,06/20/2013,14-FS08021,01,2006 HUMMER  H3-5 Cyl.,Pending,"$4,000.00",03/21/2014,01/23/2014,,,$0.00,01/23/2014
Scott County Sheriff's Office,12/30/2013,14-FS36502,01,$699.00 U.S. Currency,Forfeiture,$699.00,05/15/2014,06/05/2014,,,$699.00,06/05/2014
Scott County Sheriff's Office,03/17/2014,14-FS07785,01,1995 FORD  Mustang,Pending,"$1,000.00",03/18/2014,,,,$0.00,
Scott County Sheriff's Office,03/17/2014,14-FS07786,01,2001 CHEVROLET  Lumina-V6,Pending,"$2,500.00",03/18/2014,02/19/2015,,,,02/19/2015
Scott County Sheriff's Office,03/17/2014,14-FS07786,02,$633.00 U.S. Currency,Forfeiture,$633.00,03/18/2014,02/19/2015,,,$633.00,02/19/2015
Scott County Sheriff's Office,03/17/2014,14-FS07893,01,2003 HONDA  Pilot-V6,Pending,"$5,000.00",03/19/2014,,,,$0.00,
Scott County Sheriff's Office,04/03/2014,14-FS09797,01,2000 TOYOTA  Camry,Pending,"$2,000.00",04/07/2014,,,,$0.00,
Scott County Sheriff's Office,09/16/2014,15-FS26047,01,"$1,412.00 U.S. Currency",Forfeiture,"$1,412.00",10/23/2014,02/19/2015,,,"$1,412.00",02/19/2015
Scott County Sheriff's Office,11/04/2014,15-FS30900,01,$524.00 U.S. Currency,Forfeiture,$524.00,11/05/2014,02/19/2015,,,$524.00,02/19/2015
