Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Franklin County Sheriff's Office,04/19/2008,08-FS12214,01,"$4,102.00 U.S. CURRENCY",Pending,"$4,102.00",05/01/2008,,,,$0.00,
Franklin County Sheriff's Office,08/07/2008,09-FS23502,01,$780.00 U.S. CURRENCY,Pending,$780.00,08/22/2008,,,,$0.00,
Franklin County Sheriff's Office,12/15/2008,09-FS36402,01,1996 GMC YUKON,Pending,"$4,000.00",12/29/2008,,,,$0.00,
Franklin County Sheriff's Office,09/19/2009,10-FS28202,01,"$2,143.00 U.S. CURRENCY",Pending,"$2,143.00",10/09/2009,,,,$0.00,
Franklin County Sheriff's Office,10/15/2009,10-FS30601,01,2003 HONDA ACCORD,Pending,"$4,000.00",11/02/2009,,,,$0.00,
Franklin County Sheriff's Office,10/15/2009,10-FS30601,02,$959.00 U.S. CURRENCY,Pending,$959.00,11/02/2009,,,,$0.00,
Franklin County Sheriff's Office,07/16/2010,11-FS22802,01,"$3,540.00 U.S. CURRENCY",Pending,"$3,540.00",08/16/2010,,,,$0.00,
Franklin County Sheriff's Office,08/28/2010,11-FS25612,01,"$2,467.00 U.S. CURRENCY",Forfeiture,"$2,467.00",09/13/2010,07/05/2011,,,"$2,000.00",07/05/2011
Franklin County Sheriff's Office,10/12/2010,11-FS30501,01,"$1,993.51 U.S. CURRENCY",Pending,"$1,993.51",11/01/2010,,,,$0.00,
Franklin County Sheriff's Office,10/13/2010,11-FS30502,01,"$1,753.00 U.S. CURRENCY",Pending,"$1,753.00",11/01/2010,,,,$0.00,
Franklin County Sheriff's Office,03/02/2011,11-FS07501,01,1996 CHEVROLET TAHOE,Pending,"$5,000.00",03/16/2011,,,,$0.00,
Franklin County Sheriff's Office,09/11/2011,12-FS27301,01,"$6,895.00 U.S. CURRENCY",Forfeiture,"$6,895.00",09/30/2011,05/22/2012,,,"$6,895.00",05/22/2012
Franklin County Sheriff's Office,12/02/2011,12-FS35303,01,"$4,580.00 U.S. CURRENCY",Forfeiture,"$4,580.00",12/19/2011,05/22/2012,,,"$4,580.00",05/22/2012
Franklin County Sheriff's Office,03/28/2012,12-FS13020,01,1989 CHEVROLET PICKUP,Pending,"$1,000.00",05/09/2012,07/18/2012,,,$0.00,07/18/2012
Franklin County Sheriff's Office,04/05/2012,12-FS12504,01,"$1,500.00 US CURRENCY",Forfeiture,"$1,500.00",05/04/2012,05/22/2012,,,"$1,500.00",05/22/2012
Franklin County Sheriff's Office,04/27/2012,12-FS12505,01,"$1,469.00 US CURRENCY",Forfeiture,"$1,469.00",05/04/2012,01/31/2013,,,"$1,469.00",01/31/2013
