Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Bedford City Police Department,01/31/2009,10-FS15315,01,"$2,700.00 U.S. CURRENCY",Forfeiture,"$2,700.00",06/02/2010,06/07/2010,,,"$1,500.00",06/07/2010
Bedford City Police Department,02/13/2009,10-FS34107,01,2000 NISSAN MAXIMA,Forfeiture,$500.00,12/07/2009,12/02/2009,,,$500.00,12/02/2009
Bedford City Police Department,05/02/2010,10-FS15314,01,1993 MAZDA PROTÉGÉ,Forfeiture,"$1,500.00",06/02/2010,01/24/2011,12/17/2012,,$0.00,12/17/2012
Bedford City Police Department,01/12/2011,11-FS01904,01,"$1,800.00 U.S. CURRENCY",Forfeiture,"$1,800.00",01/19/2011,03/13/2013,,,"$1,800.00",03/13/2013
Bedford City Police Department,10/22/2011,13-FS02506,01,$525.00 U.S. Currency,Return To Owner,$525.00,01/25/2013,01/16/2013,,,$0.00,01/16/2013
Bedford City Police Department,11/09/2012,13-FS33101,01,"$1,316.00 US CURRENCY",Forfeiture,"$1,316.00",11/26/2012,12/04/2013,,,"$1,316.00",12/04/2013
Bedford City Police Department,01/10/2013,13-FS02504,01,2000 CHEVROLET  Cavalier-L4,Pending,"$1,000.00",01/25/2013,,,,$0.00,
Bedford City Police Department,01/10/2013,13-FS02504,02,"$2,599.00 U.S. Currency",Pending,"$2,599.00",01/25/2013,,,,$0.00,
Bedford City Police Department,01/10/2013,13-FS03708,01,2000 CHEVROLET  Cavalier-L4,Return To Owner,"$1,000.00",02/06/2013,03/26/2013,,,$0.00,03/26/2013
Bedford City Police Department,01/10/2013,13-FS03708,02,"$2,599.00 U.S. Currency",Return To Owner,"$2,599.00",02/06/2013,12/03/2013,,,$0.00,12/03/2013
Bedford City Police Department,02/19/2013,13-FS06405,01,$500.00 U.S. Currency,Pending,$500.00,03/05/2013,,,,$0.00,
Bedford City Police Department,04/11/2013,13-FS11406,01,2007 TOYOTA  COROLLA,Pending,"$3,000.00",07/30/2014,04/25/2014,07/31/2014,,$0.00,04/25/2014
Bedford City Police Department,01/16/2014,14-FS02308,01,2002 CHEVROLET TRUCK  Tahoe-V8,Administrative,"$7,025.00",01/23/2014,08/26/2014,,,$0.00,08/26/2014
Bedford City Police Department,02/11/2014,14-FS04364,01,"$4,160.00 U.S. Currency",Pending,"$4,160.00",02/12/2014,,,,$0.00,
Bedford City Police Department,03/17/2014,14-FS07787,01,"$1,650.30 U.S. Currency",Pending,"$1,650.30",03/18/2014,,,,$0.00,
Bedford City Police Department,07/28/2014,15-FS21370,01,$521.75 U.S. Currency,Pending,$521.75,08/01/2014,,,,$0.00,
