Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Norfolk Police Department,03/21/2008,08-FS10801,01,2001 DODGE CARAVAN,Pending,"$3,295.00",04/17/2008,02/03/2009,,,$0.00,02/03/2009
Norfolk Police Department,05/23/2008,08-FS16202,01,2001 FORD EXPLORER,Pending,"$10,000.00",06/10/2008,06/08/2009,,,$0.00,06/08/2009
Norfolk Police Department,03/24/2009,09-FS09011,01,42 INCH LG TV,Pending,$500.00,03/31/2009,07/24/2009,,,$0.00,07/24/2009
Norfolk Police Department,06/03/2009,10-FS18205,01,2001 MERCEDES ML 320,Dismissal,"$17,955.00",07/01/2009,04/05/2010,,,$0.00,04/05/2010
Norfolk Police Department,06/09/2009,10-FS19413,01,2002 LEXUS LS 430,Release To Lien Holder,"$4,000.00",07/13/2009,12/07/2009,,,$0.00,12/07/2009
Norfolk Police Department,06/09/2009,10-FS19414,01,"$1,129.00 U.S. CURRENCY",Forfeiture,"$1,129.00",07/13/2009,12/07/2009,,,"$1,129.00",12/07/2009
Norfolk Police Department,06/09/2009,10-FS19415,01,PHILLIPS 50 INCH FLATSCREEN TV,Forfeiture,$500.00,07/13/2009,12/07/2009,,,$0.00,01/17/2012
Norfolk Police Department,06/09/2009,10-FS19416,01,32 INCH SAMSUNG FLATSCREEN TV,Forfeiture,$500.00,07/13/2009,12/07/2009,,,$0.00,01/17/2012
Norfolk Police Department,06/18/2009,10-FS19411,01,$597.00 U.S. CURRENCY,Forfeiture,$597.00,07/13/2009,12/07/2009,,,$597.00,12/07/2009
Norfolk Police Department,06/18/2009,10-FS19412,01,2000 INFINITI I30,Release To Lien Holder,"$12,000.00",07/13/2009,02/24/2010,,,$0.00,02/24/2010
Norfolk Police Department,06/20/2009,10-FS18206,01,$590.00 U.S. CURRENCY,Forfeiture,$590.00,07/01/2009,12/07/2009,,,$590.00,12/07/2009
Norfolk Police Department,06/26/2009,10-FS19407,01,1995 MERCEDES S430,Return To Owner,"$7,000.00",07/13/2009,04/06/2010,,,$0.00,04/06/2010
Norfolk Police Department,06/26/2009,10-FS19409,01,"$14,430.00 U.S. CURRENCY",Forfeiture,"$14,430.00",07/13/2009,11/17/2010,,,"$14,430.00",11/17/2010
Norfolk Police Department,06/26/2009,10-FS19410,01,2006 HONDA ACCORD,Pending,"$18,000.00",07/13/2009,05/10/2012,,,$0.00,05/10/2012
Norfolk Police Department,06/29/2009,10-FS19406,01,"$1,376.00 U.S. CURRENCY",Forfeiture,"$1,376.00",07/13/2009,12/07/2009,,,"$1,376.00",12/07/2009
Norfolk Police Department,06/30/2009,10-FS20412,01,2002 MERCURY MOUNTAINEER,Release To Lien Holder,"$2,825.00",07/23/2009,12/07/2009,,,$0.00,12/07/2009
Norfolk Police Department,07/01/2009,10-FS19408,01,$666.00 U.S. CURRENCY,Forfeiture,$666.00,07/13/2009,12/07/2009,,,$666.00,12/07/2009
Norfolk Police Department,07/01/2009,10-FS20413,01,1999 FORD WINDSTAR,Return To Owner,"$2,000.00",07/23/2009,01/20/2010,,,$0.00,01/20/2010
Norfolk Police Department,07/01/2009,10-FS20414,01,"$1,118.00 U.S. CURRENCY",Forfeiture,"$1,118.00",07/23/2009,01/20/2009,,,$908.00,01/20/2009
Norfolk Police Department,07/07/2009,10-FS22302,01,STAINLESS STEEL FEEZE WRIST WATCH,Forfeiture,$500.00,08/11/2009,11/05/2010,,,$523.24,11/05/2010
Norfolk Police Department,07/07/2009,10-FS22303,01,1987 CHEVROLET MONTE CARLO,Forfeiture,"$1,500.00",08/11/2009,06/23/2010,,,"$1,226.00",06/23/2010
Norfolk Police Department,07/07/2009,10-FS22304,01,2006 MERCEDES CLS 500,Return To Owner,"$44,000.00",08/11/2009,12/07/2009,,,$0.00,12/07/2009
Norfolk Police Department,07/07/2009,10-FS22305,01,JOE RODEO MARINA DIAMOND LADIES WATCH,Forfeiture,$500.00,08/11/2009,11/05/2010,,,$0.00,11/05/2010
Norfolk Police Department,07/13/2009,10-FS25207,01,2000 CHEVROLET TAHOE,Return To Owner,"$3,000.00",09/09/2009,02/24/2010,,,$0.00,02/24/2010
Norfolk Police Department,07/23/2009,10-FS23012,01,"$8,614.00 U.S. CURRENCY",Forfeiture,"$8,614.00",08/18/2009,01/20/2010,,,$500.00,01/20/2010
Norfolk Police Department,07/30/2009,10-FS23013,01,$922.00 U.S. CURRENCY,Forfeiture,$922.00,08/18/2009,12/07/2009,,,$922.00,12/07/2009
Norfolk Police Department,07/31/2009,10-FS23005,01,"$7,986.00 U.S. CURRENCY",Forfeiture,"$7,986.00",08/18/2009,04/05/2010,,,"$5,486.00",04/05/2010
Norfolk Police Department,07/31/2009,10-FS23006,01,2000 HONDA CRV,Release To Lien Holder,"$8,658.00",08/18/2009,12/07/2009,,,$0.00,12/07/2009
Norfolk Police Department,07/31/2009,10-FS23007,01,HP LAPTOP COMPUTER,Dismissal,$500.00,08/18/2009,04/05/2010,,,$0.00,04/05/2010
Norfolk Police Department,07/31/2009,10-FS23008,01,1997 LEXUS LX450,Dismissal,"$9,500.00",08/18/2009,04/05/2010,,,$0.00,04/05/2010
Norfolk Police Department,07/31/2009,10-FS23009,01,LG PLASMA TV,Dismissal,$500.00,08/18/2009,04/05/2010,,,$0.00,04/05/2010
Norfolk Police Department,07/31/2009,10-FS23010,01,SAMSUNG FLATSCREEN TV,Forfeiture,$500.00,08/18/2009,04/05/2010,,,$0.00,01/17/2012
Norfolk Police Department,07/31/2009,10-FS23011,01,VIZIO FLATSCREEN TV,Forfeiture,$500.00,08/18/2009,04/05/2010,,,$0.00,01/17/2012
Norfolk Police Department,08/03/2009,10-FS25212,01,"$9,447.00 U.S. CURRENCY",Forfeiture,"$9,447.00",09/09/2009,05/10/2010,,,"$5,947.00",05/10/2010
Norfolk Police Department,08/05/2009,10-FS25210,01,1995 AUDI A6,Forfeiture,"$6,500.00",09/09/2009,06/23/2010,,,$621.00,06/23/2010
Norfolk Police Department,08/10/2009,10-FS26403,01,2002 ACURA 32 TL,Return To Owner,"$2,500.00",09/21/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/10/2009,10-FS26405,01,"$2,300.00 U.S. CURRENCY",Dismissal,"$2,300.00",09/21/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS23004,01,"$29,615.00 U.S. CURRENCY",Forfeiture,"$29,615.00",08/18/2009,04/05/2010,,,"$29,615.00",04/05/2010
Norfolk Police Department,08/11/2009,10-FS26504,01,"60"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26505,01,DELL XPS COMPUTER,Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26506,01,DELL XP MEDIA CENTER,Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26507,01,"50"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26508,01,"42"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26509,01,"50"" PIONEER FLATSCREEN-2",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26510,01,"50"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26511,01,"50"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26512,01,"42"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26513,01,"42"" PIONEER FLATSCRREN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26514,01,"42"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26515,01,"42"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/07/2012,,,$0.00,03/07/2012
Norfolk Police Department,08/11/2009,10-FS26516,01,"42"" PIONEER FLATSCREEN TV",Dismissal,$500.00,09/22/2009,03/02/2012,,,$0.00,03/02/2012
Norfolk Police Department,08/19/2009,10-FS25208,01,"$7,529.00 U.S. CURRENCY",Forfeiture,"$7,529.00",09/09/2009,02/24/2010,,,"$7,529.00",02/24/2010
Norfolk Police Department,08/19/2009,10-FS25209,01,SAMSUNG FLATSCREEN TV,Forfeiture,$500.00,09/09/2009,02/24/2010,,,$0.00,01/17/2012
Norfolk Police Department,08/20/2009,10-FS28108,01,1999 CADILLAC DEVILLE,Forfeiture,"$6,000.00",10/08/2009,06/23/2010,,,"$1,726.00",06/23/2010
Norfolk Police Department,08/21/2009,10-FS26404,01,"$2,299.00 U.S. CURRENCY",Forfeiture,"$2,299.00",09/21/2009,11/17/2010,,,"$2,000.00",11/17/2010
Norfolk Police Department,09/11/2009,10-FS28614,01,"$1,617.00 U.S. CURRENCY",Forfeiture,"$1,617.00",10/13/2009,05/10/2010,,,"$1,617.00",05/10/2010
