Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Roanoke County Police Department,04/05/2014,14-FS09918,01,"$1,380.00 U.S. Currency",Pending,"$1,380.00",04/09/2014,,,,$0.00,
Roanoke County Police Department,04/26/2014,14-FS11844,01,"$1,451.00 U.S. Currency",Return To Owner,"$1,451.00",05/09/2014,11/05/2014,,,$0.00,11/05/2014
Roanoke County Police Department,05/24/2014,14-FS14719,01,"$2,841.00 U.S. Currency",Return To Owner,"$2,841.00",05/27/2014,08/29/2014,,,$0.00,08/29/2014
Roanoke County Police Department,06/24/2014,14-FS17854,01,"$1,315.00 U.S. Currency",Pending,"$1,315.00",07/01/2014,,,,$0.00,
Roanoke County Police Department,06/25/2014,15-FS19558,01,$765.00 U.S. Currency,Return To Owner,$765.00,07/14/2014,08/01/2014,,,$0.00,08/01/2014
Roanoke County Police Department,06/26/2014,15-FS18397,01,"$2,388.00 U.S. Currency",Pending,"$2,388.00",07/14/2014,,,,$0.00,
Roanoke County Police Department,06/26/2014,15-FS18397,02,Comic Book Collection,Pending,"$7,950.00",07/14/2014,,,,$0.00,
Roanoke County Police Department,06/26/2014,15-FS18397,03,Coin and precious metal collection,Pending,"$10,000.00",07/14/2014,,,,$0.00,
Roanoke County Police Department,06/28/2014,15-FS18290,01,"$1,180.00 U.S. Currency",Pending,"$1,180.00",07/01/2014,,,,$0.00,
Roanoke County Police Department,11/13/2014,15-FS31732,01,1999 Yamaha  Grizzly 600,Pending,"$1,000.00",11/13/2014,,,,$0.00,
Roanoke County Police Department,11/13/2014,15-FS31732,02,1999 Yamaha  Grizzly 600,Pending,"$1,000.00",11/13/2014,,,,$0.00,
