Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Radford Police Department,06/26/2009,10-FS18704,01,2005 DODGE NEON,Return To Owner,"$5,000.00",07/06/2009,11/19/2010,,,$0.00,11/19/2010
Radford Police Department,06/26/2009,10-FS18706,01,"$1,124.00 U.S. CURRENCY",Forfeiture,"$1,124.00",07/06/2009,11/16/2010,,,"$1,124.00",11/16/2010
Radford Police Department,01/23/2010,10-FS03416,01,$777.00 U.S. CURRENCY,Forfeiture,$777.00,02/03/2010,04/28/2010,,,$777.00,04/28/2010
Radford Police Department,03/05/2010,10-FS06902,01,$995.00 U.S. CURRENCY,Forfeiture,$995.00,03/10/2010,07/08/2010,,,$995.00,07/08/2010
Radford Police Department,04/09/2010,10-FS10401,01,2002 HYUNDAI ACCENT,Return To Owner,"$5,000.00",04/14/2010,04/19/2010,,,$0.00,04/19/2010
Radford Police Department,11/09/2011,12-FS32506,01,"$4,603.00 U.S. CURRENCY",Forfeiture,"$4,603.00",11/21/2011,06/08/2012,06/18/2012,,"$4,603.00",06/18/2012
Radford Police Department,04/25/2012,12-FS12306,01,"$3,050.00 US CURRENCY",Forfeiture,"$3,050.00",05/02/2012,03/05/2013,,,"$3,050.00",03/05/2013
Radford Police Department,04/27/2012,12-FS12305,01,2003 HYUNDAI TIBURON,Release To Lien Holder,"$6,000.00",05/02/2012,08/21/2012,,,$0.00,08/21/2012
Radford Police Department,04/27/2012,12-FS12305,02,"$3,486.00 US CURRENCY",Forfeiture,"$3,486.00",05/02/2012,08/21/2012,,,"$3,486.00",08/21/2012
Radford Police Department,04/27/2012,12-FS12305,03,"$4,000.00 U.S. CURRENCY",Forfeiture,"$4,000.00",05/02/2012,08/21/2012,,,"$4,000.00",08/21/2012
Radford Police Department,04/27/2012,12-FS12307,01,2006 HONDA CIVIC,Pending,"$8,000.00",05/02/2012,01/10/2013,,,$0.00,01/10/2013
Radford Police Department,05/11/2012,12-FS15002,01,MOPED TAOTAO 50,Pending,"$1,000.00",05/29/2012,,,,$0.00,
Radford Police Department,09/15/2012,13-FS26801,01,1994 LINCOLN CONTINENTAL,Pending,"$1,000.00",09/24/2012,,,,,
Radford Police Department,09/15/2012,13-FS26801,02,"$2,015.00 US CURRENCY",Forfeiture,"$2,015.00",09/24/2012,05/13/2013,,,"$2,015.00",05/13/2013
Radford Police Department,09/21/2012,13-FS27608,01,2010 FORD FUSION,Pending,"$7,000.00",10/02/2012,05/13/2013,,,$0.00,05/13/2013
Radford Police Department,09/21/2012,13-FS27608,02,$508.00 us currency,Forfeiture,$508.00,10/02/2012,05/13/2013,,,$508.00,05/13/2013
Radford Police Department,09/29/2012,13-FS27807,01,2003 KIA SORRENTO,Forfeiture,"$9,000.00",10/04/2012,09/13/2013,,,$500.00,09/13/2013
Radford Police Department,09/29/2012,13-FS27807,02,"$1,165.00 US Currency",Forfeiture,"$1,165.00",10/04/2012,05/20/2014,,,"$1,165.00",05/20/2014
Radford Police Department,10/03/2012,13-FS28906,01,$670.00 US CURRENCY,Forfeiture,$670.00,10/15/2012,05/13/2013,,,$670.00,05/13/2013
Radford Police Department,10/19/2012,13-FS29716,01,$930.00 US CURRENCY,Forfeiture,$930.00,10/23/2012,09/16/2013,,,$930.00,09/16/2013
Radford Police Department,10/19/2012,13-FS30518,01,$930.00 US CURRENCY,Pending,$930.00,10/31/2012,,,,$0.00,
Radford Police Department,10/30/2012,13-FS31107,01,"$2,672.00 US CURRENCY",Forfeiture,"$22,672.00",11/06/2012,09/16/2013,,,"$2,672.00",09/16/2013
Radford Police Department,11/30/2012,13-FS00716,01,2002 VOLKSWAGEN  Passat-V6,Return To Owner,"$1,000.00",01/07/2013,12/10/2013,,,$0.00,12/10/2013
Radford Police Department,11/30/2012,13-FS00716,02,$925.00 U.S. Currency,Pending,$925.00,01/07/2013,,,,$0.00,
Radford Police Department,03/26/2013,13-FS09106,01,"$4,775.00 U.S. Currency",Forfeiture,"$4,775.00",04/01/2013,05/19/2014,,,"$4,775.00",05/19/2014
Radford Police Department,04/17/2013,13-FS11301,01,2004 JEEP  Grand Cherokee-6 Cyl.,Return To Owner,"$1,000.00",04/23/2013,05/06/2013,,,$0.00,05/06/2013
Radford Police Department,07/23/2013,14-FS20706,01,$661.00 U.S. Currency,,$661.00,07/26/2013,,,,$0.00,
Radford Police Department,07/24/2013,14-FS20705,01,"$1,149.00 U.S. Currency",Forfeiture,"$1,149.00",10/10/2013,09/19/2013,,,"$1,149.00",09/19/2013
Radford Police Department,07/30/2013,14-FS21302,01,$920.00 U.S. Currency,Forfeiture,$920.00,08/01/2013,,,,$920.00,
Radford Police Department,09/19/2013,14-FS26705,01,"$2,143.00 U.S. Currency",Pending,"$2,143.00",09/24/2013,,,,$0.00,
Radford Police Department,09/21/2013,14-FS26706,01,2012 NISSAN  Altima-4 Cyl.,Dismissal,"$13,000.00",09/24/2013,02/18/2014,,,$0.00,02/18/2014
Radford Police Department,10/22/2013,14-FS29702,01,1998 CADILLAC  Seville-V8,,"$4,000.00",12/02/2013,,,,$0.00,
Radford Police Department,10/22/2013,14-FS29702,02,$748.00 U.S. Currency,Forfeiture,$748.00,12/02/2013,05/20/2014,,,$748.00,05/20/2014
Radford Police Department,11/07/2013,14-FS31805,01,$565.00 U.S. Currency,Forfeiture,$565.00,11/14/2013,05/19/2014,,,$565.00,05/19/2014
Radford Police Department,04/25/2014,14-FS11845,01,$915.00 U.S. Currency,,$915.00,04/30/2014,,,,$0.00,
Radford Police Department,04/27/2014,14-FS11846,01,$929.00 U.S. Currency,,$929.00,04/30/2014,,,,$0.00,
Radford Police Department,07/30/2014,15-FS21371,01,"$2,683.85 Cashier's Check",Pending,"$2,683.85",08/01/2014,,,,$0.00,
Radford Police Department,09/11/2014,15-FS25523,01,"$1,575.00 U.S. Currency",Pending,"$1,575.00",09/12/2014,,,,$0.00,
Radford Police Department,09/23/2014,15-FS26991,01,"$1,516.00 U.S. Currency",Pending,"$1,516.00",09/26/2014,,,,$0.00,
Radford Police Department,10/07/2014,15-FS28358,01,$538.00 U.S. Currency,Pending,$538.00,10/10/2014,,,,$0.00,
Radford Police Department,11/02/2014,15-FS31411,01,"$1,061.00 U.S. Currency",Pending,"$1,061.00",11/10/2014,,,,$0.00,
Radford Police Department,12/05/2014,15-FS34583,01,"$1,250.00 U.S. Currency",Pending,"$1,250.00",12/11/2014,,,,$0.00,
Radford Police Department,12/05/2014,15-FS34585,01,"$1,744.00 U.S. Currency",Pending,"$1,744.00",12/11/2014,,,,$0.00,
Radford Police Department,12/05/2014,15-FS34586,01,2002 BMW  3 Series,Pending,"$4,200.00",12/11/2014,,,,$0.00,
Radford Police Department,12/17/2014,15-FS35337,01,"$14,795.00 U.S. Currency",Pending,"$14,795.00",12/19/2014,,,,$0.00,
