Agency,Date Seized,DCJS Seizure #,Property #,Property Description,Disposition Code,Property Value,998 Rcvd,1st 999 Rcvd,2nd 999 Rcvd,3rd 999 Rcvd,Disbursal Total,Disbursement Date
Loudoun County Sheriff's Office,02/09/2008,08-FS11415,01,"$11,491.00 U.S. CURRENCY",Forfeiture,"$11,491.00",04/23/2008,09/23/2014,,,"$9,000.00",09/23/2014
Loudoun County Sheriff's Office,02/26/2008,08-FS07705,01,2000 GMC PICKUP,Pending,"$7,000.00",03/17/2008,11/06/2008,,,$0.00,11/06/2008
Loudoun County Sheriff's Office,10/05/2008,11-FS16705,01,$607.00 U.S. CURRENCY,Forfeiture,$607.00,06/16/2011,08/16/2011,,,$0.00,08/16/2011
Loudoun County Sheriff's Office,10/15/2008,09-FS30902,01,1995 GMC TOW TRUCK,Return To Owner,"$5,000.00",11/04/2008,11/20/2014,,,$0.00,11/20/2014
Loudoun County Sheriff's Office,10/15/2008,09-FS30902,02,1997 INTERNATIONAL TOW TRUCK,Dismissal,"$10,000.00",11/04/2008,11/16/2009,,,$0.00,11/16/2009
Loudoun County Sheriff's Office,10/29/2008,09-FS31002,01,"$1,790.00 U.S. CURRENCY",Forfeiture,"$1,790.00",11/05/2008,10/03/2014,,,"$1,790.00",10/03/2014
Loudoun County Sheriff's Office,11/19/2008,09-FS35105,01,1996 JEEP CHEROKEE,Pending,"$2,000.00",12/16/2008,11/16/2009,,,$0.00,11/16/2009
Loudoun County Sheriff's Office,11/21/2008,09-FS04302,01,2001 GMC YUKON,Pending,"$4,000.00",02/12/2009,06/25/2010,,,$0.00,06/25/2010
Loudoun County Sheriff's Office,02/07/2009,15-FS28671,01,"$8,091.00 U.S. Currency",Forfeiture,"$8,091.00",10/13/2014,11/07/2014,,,"$1,091.00",11/07/2014
Loudoun County Sheriff's Office,03/20/2009,09-FS09108,01,"$1,571.00 U.S. CURRENCY",Return To Owner,"$1,571.00",04/01/2009,11/20/2014,,,$0.00,11/20/2014
Loudoun County Sheriff's Office,03/25/2009,09-FS09109,01,2005 CHEROLET VAN,Pending,"$5,000.00",04/01/2009,11/16/2009,,,$0.00,11/16/2009
Loudoun County Sheriff's Office,03/26/2009,11-FS19403,01,2001 BMW X5,Forfeiture,"$5,000.00",07/13/2010,09/16/2010,05/25/2012,,$0.00,05/25/2012
Loudoun County Sheriff's Office,04/01/2009,09-FS09804,01,2003 NISSAN TRUCK,Return To Owner,"$3,000.00",04/08/2009,11/20/2014,,,$0.00,11/20/2014
Loudoun County Sheriff's Office,04/09/2009,15-FS35745,01,"$2,414.00 U.S. Currency",Pending,"$2,414.00",12/23/2014,,,,,
Loudoun County Sheriff's Office,05/15/2009,10-FS19602,01,$715.00 U.S. CURRENCY,Forfeiture,$715.00,07/15/2009,10/17/2014,,,$715.00,10/17/2014
Loudoun County Sheriff's Office,07/02/2009,10-FS19601,01,"$1,260.00 U.S. CURRENCY",Return To Owner,"$1,260.00",07/15/2009,04/23/2013,,,$0.00,04/23/2013
Loudoun County Sheriff's Office,07/29/2009,10-FS22405,01,1993 MAZDA SEDAN,Forfeiture,"$1,500.00",08/12/2009,09/16/2010,03/29/2011,,$644.00,03/29/2011
Loudoun County Sheriff's Office,07/30/2009,13-FS06901,01,"$3,610.00 U.S. Currency",Forfeiture,"$3,610.00",03/10/2013,03/08/2013,,,"$3,610.00",03/08/2013
Loudoun County Sheriff's Office,08/20/2009,10-FS27307,01,$825.00 U.S. CURRENCY,Forfeiture,$825.00,09/30/2009,10/03/2014,,,$825.00,10/03/2014
