Arrests by Offense,Portsmouth,
,Adult,Juvenile
Murder,14,0
Manslaughter,0,0
Kidnaping,37,0
"Sex Offenses, Forcible",17,3
Robbery,33,7
Aggravated Assault,127,4
Simple Assault/Intimidation,868,40
Arson,2,1
Extortion/Blackmail,0,0
Burglary,47,11
Larceny,267,24
Motor Vehicle Theft,18,1
Counterfeiting/Forgery,32,0
Fraud,47,0
Embezzlement,10,0
Stolen Property,28,0
Vandalism,84,5
Drug/Narcotic Offenses,1053,18
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,7,1
Prostitution,24,0
Bribery,0,0
Weapon Law Violations,102,2
TOTAL GROUP A,2820,117
Bad Checks,34,0
Curfew/Loitering/Vagrancy,0,25
Disorderly Conduct,79,4
Driving Under Influence,156,1
Drunkenness,371,0
"Family Offenses, Nonforcible",63,0
Liquor Laws Violations,68,1
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,667,7
Conspiracy,0,0
All Other (except Traffic),3271,15
TOTAL GROUP B,4710,53
GRAND TOTAL,7530,170
