Arrests by Offense,Montgomery,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",12,1
Robbery,8,0
Aggravated Assault,59,3
Simple Assault/Intimidation,282,12
Arson,3,0
Extortion/Blackmail,1,0
Burglary,38,0
Larceny,149,4
Motor Vehicle Theft,12,3
Counterfeiting/Forgery,16,0
Fraud,32,0
Embezzlement,13,0
Stolen Property,12,1
Vandalism,69,3
Drug/Narcotic Offenses,201,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,32,0
TOTAL GROUP A,951,29
Bad Checks,103,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,34,5
Driving Under Influence,525,4
Drunkenness,731,4
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,172,13
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,65,0
Conspiracy,4,0
All Other (except Traffic),1133,26
TOTAL GROUP B,2770,53
GRAND TOTAL,3721,82
