Arrests by Offense,Chesapeake,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,25,2
"Sex Offenses, Forcible",36,2
Robbery,61,9
Aggravated Assault,163,23
Simple Assault/Intimidation,1234,57
Arson,0,0
Extortion/Blackmail,0,0
Burglary,131,13
Larceny,625,38
Motor Vehicle Theft,34,5
Counterfeiting/Forgery,57,1
Fraud,110,0
Embezzlement,51,1
Stolen Property,42,4
Vandalism,23,0
Drug/Narcotic Offenses,1429,81
"Sex Offenses, Nonforcible",2,0
Pornography,0,0
Gambling,5,0
Prostitution,5,0
Bribery,2,0
Weapon Law Violations,115,9
TOTAL GROUP A,4155,245
Bad Checks,80,0
Curfew/Loitering/Vagrancy,0,44
Disorderly Conduct,74,36
Driving Under Influence,588,3
Drunkenness,559,2
"Family Offenses, Nonforcible",17,0
Liquor Laws Violations,140,52
Peeping Tom,4,0
Runaway,0,495
Trespass of Real Property,237,18
Conspiracy,2,0
All Other (except Traffic),2425,143
TOTAL GROUP B,4126,793
GRAND TOTAL,8281,1038
