Arrests by Offense,Fredericksburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,8,1
"Sex Offenses, Forcible",14,4
Robbery,10,0
Aggravated Assault,30,3
Simple Assault/Intimidation,118,3
Arson,0,0
Extortion/Blackmail,1,0
Burglary,20,0
Larceny,177,17
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,35,0
Fraud,34,1
Embezzlement,21,1
Stolen Property,7,1
Vandalism,28,5
Drug/Narcotic Offenses,299,5
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,10,0
Bribery,0,0
Weapon Law Violations,20,1
TOTAL GROUP A,835,42
Bad Checks,30,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,26,0
Driving Under Influence,162,2
Drunkenness,124,0
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,29,1
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,68,5
Conspiracy,1,0
All Other (except Traffic),550,24
TOTAL GROUP B,1001,32
GRAND TOTAL,1836,74
