Arrests by Offense,Greensville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",6,1
Robbery,3,0
Aggravated Assault,13,0
Simple Assault/Intimidation,41,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,8,0
Larceny,20,7
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,2,0
Fraud,2,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,9,0
Drug/Narcotic Offenses,72,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,6,0
TOTAL GROUP A,193,8
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,18,1
Driving Under Influence,62,0
Drunkenness,20,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,6,0
Conspiracy,5,0
All Other (except Traffic),31,1
TOTAL GROUP B,146,2
GRAND TOTAL,339,10
