Arrests by Offense,Pittsylvania,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",2,0
Robbery,4,3
Aggravated Assault,21,3
Simple Assault/Intimidation,302,3
Arson,3,0
Extortion/Blackmail,0,0
Burglary,26,1
Larceny,55,0
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,7,0
Fraud,3,0
Embezzlement,3,0
Stolen Property,0,0
Vandalism,21,0
Drug/Narcotic Offenses,37,2
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,28,0
TOTAL GROUP A,526,12
Bad Checks,71,0
Curfew/Loitering/Vagrancy,0,6
Disorderly Conduct,5,0
Driving Under Influence,152,2
Drunkenness,86,3
"Family Offenses, Nonforcible",18,0
Liquor Laws Violations,26,10
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,55,0
Conspiracy,0,0
All Other (except Traffic),645,6
TOTAL GROUP B,1058,27
GRAND TOTAL,1584,39
