Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",8,2
Robbery,7,0
Aggravated Assault,34,2
Simple Assault/Intimidation,224,17
Arson,3,0
Extortion/Blackmail,0,0
Burglary,35,1
Larceny,168,9
Motor Vehicle Theft,11,2
Counterfeiting/Forgery,35,0
Fraud,11,1
Embezzlement,13,0
Stolen Property,2,0
Vandalism,25,8
Drug/Narcotic Offenses,146,24
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,14,5
TOTAL GROUP A,738,71
Bad Checks,263,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,32,1
Driving Under Influence,120,2
Drunkenness,247,1
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,16,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,52,3
Conspiracy,0,0
All Other (except Traffic),1603,123
TOTAL GROUP B,2333,132
GRAND TOTAL,3071,203
