Arrests by Offense,Colonial Heights,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",6,1
Robbery,8,3
Aggravated Assault,7,5
Simple Assault/Intimidation,128,43
Arson,2,8
Extortion/Blackmail,0,0
Burglary,5,1
Larceny,260,120
Motor Vehicle Theft,5,4
Counterfeiting/Forgery,27,0
Fraud,37,2
Embezzlement,38,5
Stolen Property,10,0
Vandalism,31,14
Drug/Narcotic Offenses,159,25
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,4
TOTAL GROUP A,745,235
Bad Checks,29,0
Curfew/Loitering/Vagrancy,0,47
Disorderly Conduct,23,25
Driving Under Influence,242,1
Drunkenness,66,1
"Family Offenses, Nonforcible",32,1
Liquor Laws Violations,25,20
Peeping Tom,0,0
Runaway,0,44
Trespass of Real Property,25,18
Conspiracy,0,0
All Other (except Traffic),805,42
TOTAL GROUP B,1247,199
GRAND TOTAL,1992,434
