Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,12,1
Manslaughter,1,0
Kidnaping,28,2
"Sex Offenses, Forcible",69,31
Robbery,88,52
Aggravated Assault,238,63
Simple Assault/Intimidation,1506,362
Arson,4,20
Extortion/Blackmail,1,0
Burglary,187,95
Larceny,407,326
Motor Vehicle Theft,32,31
Counterfeiting/Forgery,78,0
Fraud,109,1
Embezzlement,53,3
Stolen Property,34,15
Vandalism,78,117
Drug/Narcotic Offenses,1854,206
"Sex Offenses, Nonforcible",9,1
Pornography,1,0
Gambling,5,0
Prostitution,127,0
Bribery,0,0
Weapon Law Violations,187,69
TOTAL GROUP A,5108,1395
Bad Checks,0,0
Curfew/Loitering/Vagrancy,6,507
Disorderly Conduct,17,30
Driving Under Influence,284,3
Drunkenness,743,17
"Family Offenses, Nonforcible",219,8
Liquor Laws Violations,47,62
Peeping Tom,0,3
Runaway,0,723
Trespass of Real Property,130,216
Conspiracy,0,0
All Other (except Traffic),427,525
TOTAL GROUP B,1873,2094
GRAND TOTAL,6981,3489
